index,Country,NDC Section,NDC Sub-Section,NDC Targets,NDC Target Text,index,NCS Action Category,Mitigation and/or adaptation,Ecosystem Type(s),NCS Actions and related keywords,generated_sample,count,0.057704502,,,,
0,Belize,Executive Summary (1),,a,"This document contains Belize’s updated national contributions under the Paris Climate Change Agreement. Belize submitted its first Nationally Determined Contribution in 2016 and is now submitting this updated version ahead of the 26th Conference of Parties to the United Nations Framework Convention on Climate Change which is to be held November 2021. This updated version benefits from the availability of more robust data on land use trends and emission factors over the previous version of the NDC submitted in 2016, including the availability of Belize's first Forestry and Other Land Use (FOLU) sector Greenhouse Gas Inventory showing long-term trends in emissions and removals since 2001. It also carefully considers national capacity and circumstances as well as the availability of technological advancements. It therefore represents an ambitious improvement in the planning and projections of national commitments over the previous NDC, which was largely underpinned by generalized assumptions and deficiencies in data needed for accurate projections in the FOLU sector. As a result, a direct comparison between the first NDC and this updated NDC, in terms of the magnitude of CO2e commitments pertaining to the FOLU sector, cannot be made without considering the increase in accuracy of projections. Belize considers the improvements made in the process to develop more realistic, transparent and achievable NDCs in all sectors as a demonstration of its high ambition goals.
Climate change is already affecting the livelihoods of Belizeans. Belize, as a small country with relatively minor contributions to global greenhouse gas emissions, has limited capacity to contribute to mitigation of global climate change. However, the country is committed to achieving the ultimate objective of the Convention and supports the even more ambitious target to limit the increase in global average temperature to 1.5°C, compared to pre-industrial levels.
As a member of the High Ambition Coalition, Belize has committed to increasing emissions reduction ambition in this updated NDC, including through the use of nature-based solutions in the FOLU sector intended to increase removals, whilst underpinning the NDC development process with more robust and realistic data and projections in all sectors. Belize is committed to developing a long-term strategy aligned with achieving net zero global emissions by 2050.
The NDC for Belize is consistent with the overall goal of the Growth and Sustainable Development Strategy (GSDS) which encompasses medium-term economic development, poverty reduction, and longer-term sustainable development. The GSDS is the nation’s primary planning document and outlines four critical success factors for the development of our country and to ensure a better quality of life for all Belizeans, living now and in the future.
The development of the updated NDC has included broad stakeholder engagement including participation of vulnerable populations in an inception workshop for the NDC update process. Throughout the development of the updated NDC, progress has been validated through engagement with a technical committee of sector leads, including representation of indigenous peoples. Broader engagement of civil society and project owners was facilitated during an engagement phase. The actions and targets included in this updated NDC have undergone a gender and vulnerable group scoring analysis, which produced recommendations for increasing the gender sensitivity of both the medium-term implementation of the NDC and the long-term low emissions development strategy under development.
The primary GHG emitters are the energy, agriculture, waste, and industrial processes and product use (IPPU) sector. The FOLU sector is a net sink of GHG emissions due to GHG removals from forest growth that occurred in the country, which are the main driver of the historical GHG emission profile of Belize.
As a Small Island Developing State, Belize recognizes that the health and integrity of coastal ecosystems are vital for the health of people and the planet. “Blue carbon”, e.g. basin, fringe and island mangrove and seagrass ecosystems, play many important roles as a nature-based solution to climate change with mitigation, adaptation, and resilience co-benefits. These ecosystems sequester and store significant amounts of carbon, help to ameliorate flooding of low-lying areas on the mainland, safeguard frontline communities and infrastructure from climate impacts and build greater resilience, making their healthy function a triple-win for Belize by contributing to the national carbon sink, offsetting sea level rise and coastal erosion while expanding habitat for biodiverse resources, and supporting a more resilient tourism and aquaculture industry.
Climate change is already having significant impacts on Belize’s territory, population and key economic sectors. Impacts experienced in the country to date include sustained droughts, floods, increased coastal erosion and changing precipitation patterns. In the future, these effects are expected to increase, thereby threatening the physical and social infrastructure in Belize. Agricultural yields are sensitive to changes in precipitation, temperature and extreme weather. Tourism, which accounts for the most income of any sector is impacted by seal level rise, coral bleaching and impacts on biodiversity. Critical support systems including water resources, health and energy are likewise impacted by the increasingly variable climate in the region. Belize also hosts globally significant ecological resources including rainforest, mangrove forests, wetlands and coral reefs which are under threat from a warming world. Belize considers adaptation as a high priority given its vulnerability to natural hazards and climate-related shocks.
Targets included in this updated NDC are estimated to avoid a cumulative emissions total across all sectors of 5,647 KtCO2e between 2021 and 20301 (peaking at1,080 KtCO2e in avoided emissions in the year 20302). As mentioned previously, this revised commitment is not necessarily comparable to the commitment in the first NDC due to improvements in data underlying the projections. Never-the-less, there is a 5% increase in overall commitments in this updated NDC. Key sector targets include: a 63% increase in GHG removals related to the Agriculture, Forestry and Other Land Use (AFOLU) sector and an increase of renewable energy projects for grid connected electricity generation. Targets also include a number of sectoral actions to build resilience and develop capacity to adapt to the impacts of climate change in key economic sectors and supporting systems. As part of the High Ambition Coalition, Belize announced its intention to develop a long-term low emissions development strategy, which will include targets for mitigation in key sectors to 2050.
This updated NDC reflects Belize’s commitment to enhancing its climate ambition. Notably, ambition has been
integrated into the updated NDC through the following enhancements:
●	Improvements in the data availability and analysis of projections underpinning commitments, especially in the FOLU sector
●	Realistic and achievable commitments
●	Increased ambition through expanded sectoral targets
●	Expanded coverage of gases covered in targets to include N2O and Methane in AFOLU interventions
●	Further specification of targets including addition of time frames, quantified emissions reductions and other outcomes
●	Increased transparency in the development of targets
●	Detail on the financing, monitoring and implementation of actions included in the NDC.
The targets and actions set out in this document demonstrate Belize’s commitment to supporting the
implementation of the Paris Agreement including:
●	A set of mitigation targets in line with a global goal to keep global warming to below 2 degrees Celsius by 2100

 
●	A set of adaptation actions designed to develop resilience of critical systems and populations in Belize
●	Consideration of the costs of delivering actions identified and level of climate finance resources to support delivery of these actions.
Government of Belize has also taken a number of steps towards mobilizing finance for climate change activities from domestic and international sources. Recognizing the importance of climate finance aspects, the Climate Finance Working Group has been established under the Belize National Climate Change Committee (BNCCC) to provide guidance to the national efforts to access, manage and effectively use climate finance. The Government of Belize has increased public capital investment in climate change, especially on resilience building aspects.
The mitigation targets and actions included above are estimated to cost close to USD$ 1.39 billion between 2021 and 2030. Recognizing funding that is already committed, the funding gap to deliver these actions is estimated at USD$ 1.24 billion. Considering recoverable costs in the energy and waste sector, this gap could fall to USD$ 607 million.
The targets and actions included in the NDC related to adapting to the impacts of climate change are estimated to cost a total of USD$ 318 million between 2021 and 2030. Recognizing funding that is already committed, the funding gap to deliver these actions is estimated at USD$ 146 million.
The implementation of the targets and actions covered by this NDC will be coordinated by the Belize National Climate Change Office (NCCO), through advice and guidance provided by the Belize National Climate Change Committee (BNCCC). Relevant ministries and stakeholders are represented on the BNCCC. An NDC Implementation Plan will be developed to set out annual targets, funding conditionalities and requirements and responsible parties for activities required to deliver the actions and targets included in the NDC. The NDC Implementation Plan will include specific consideration of how to incorporate stakeholder engagement and delivery of actions to promote a just transition in Belize.
In coordination with the NDC implementation plan, a series of evaluation systems will be put in place to monitor annual progress against targets and actions for both mitigation and adaptation.",0,Manage,adaptation,Marine and coastal zones,"Management of marine, fisheries and coastal zones: coastal zone risk retention - soft structure, coastal zone risk retention - hard structure, coastal environment monitoring and risk assessment / prediction, disease management of marine resources, marine production promotion, marine ecosystem service management, marine fisheries and coastal zones education and consulting",No.,0,,,,N,Executive Summary (1)  a
1,Belize,Intriduction (2),,b,"This document contains Belize’s updated national contributions under the Paris Climate Change Agreement. Belize submitted its Nationally Determined Contribution in 2016 and is submitting an updated version of these commitments ahead of the 26th Conference of Parties to the United Nations Framework Convention on Climate Change which is to be held November 2021.
The targets and actions included below reflect relevant policies, strategies and plans in sectors relevant to climate change mitigation and adaptation. They are an extension and application of the focus on climate change in Belize’s key development plans, including the Growth and Sustainable Development Strategy. Links to the Sustainable Development Goals are highlighted for each target and action presented.
The NDC also summarizes the plans for implementing the actions set out, including activities to finance and monitor progress.",0,Manage,adaptation,Marine and coastal zones,"Management of marine, fisheries and coastal zones: coastal zone risk retention - soft structure, coastal zone risk retention - hard structure, coastal environment monitoring and risk assessment / prediction, disease management of marine resources, marine production promotion, marine ecosystem service management, marine fisheries and coastal zones education and consulting",No.,0,,,,N,Intriduction (2)  b
2,Belize,National Context (3),Background (3.1),c,"Climate change is already affecting the livelihoods of Belizeans. Belize, as a small country with relatively minor contributions to global greenhouse gas emissions, has limited capacity to contribute to mitigation of global climate change. However, the country is committed to achieving the ultimate objective of the Convention and supports the even more ambitious target to limit the increase in global average temperature to 1.5°C, compared to pre-industrial levels. In light of these realities, Belize’s Nationally Determined Contribution (NDC) is guided by its commitment to strategically transition to low carbon development while strengthening its resilience to the effects of climate change.
Belize is an upper middle-income country with a population of 400,000 (2018), 42% (or about 170,000) of whom live in poverty (2009). Belize was ranked 110/189 (2019) on the comprehensive Human Development Index.
The national territory covers a land area of approximately 22,967 km2, including 280 km of coastland. The mainland makes up 95% of the territory, and 5% is represented by more than 1,060 small islands or Cayes.
In 2019, GDP amounted to USD$ 2 billion and has experienced between 2-3% annual growth over recent years. The economy is dominated by the service sector (70% of output), including a significant tourism sector. Agriculture and industry are also significant. Reflecting the importance of tourism to the country’s economy, Covid-19 has had a major impact on growth, with an expected 15% contraction estimated in 2020.
Belize has a relatively high debt to GDP ratio of 90%. The unemployment rate is 9.4% (2018). Gender inequality is in line with global averages, and Belize is ranked 89 of 189 countries.",0,Manage,adaptation,Marine and coastal zones,"Management of marine, fisheries and coastal zones: coastal zone risk retention - soft structure, coastal zone risk retention - hard structure, coastal environment monitoring and risk assessment / prediction, disease management of marine resources, marine production promotion, marine ecosystem service management, marine fisheries and coastal zones education and consulting",No.,0,,,,N,National Context (3) Background (3.1) c
3,Belize,National Context (3),Climate change in Belize (3.2),d,"	3.2.1 Impacts of climate change
Global climate change is one of the most serious threats to sustainable development in Belize. Impacts experienced in the country to date include sustained droughts, floods, increased coastal erosion and changing precipitation patterns. Combined, these climate changes and related phenomena are having significant impacts on many environmental, physical, social and economic systems within the country. In the future, these effects are expected to increase, thereby threatening the physical and social infrastructure in Belize.
According to the recent systematic country diagnostic by the World Bank Group, Belize is one of the most affected countries in the world by weather related events and other natural hazards. As such, Belize incurs annual losses of close to 4% of GDP due to natural disasters (Carneiro, 2016).
Key vulnerabilities identified include:
●	Hurricanes and tropical storms causing severe losses from wind damage and flooding due to storm surges and heavy rainfall
●	Belize City is especially vulnerable to flood damage due to its low-lying land and exposed positions on the coast; low lying topography makes the country’s coastal areas especially vulnerable to sea level rise
●	Extreme temperatures affecting crops and livestock
●	Home to the second largest barrier reef; its species are especially vulnerable to global warming
●	Among small states, Belize ranks 3rd for susceptibility to natural disasters and 5th at risk for climate change5
●	Ranked 120 (59th most vulnerable) out of 181 countries on vulnerability score6
Projected climate change impacts for Belize include a rise in temperature of between 2°C and 4°C by 2100, a 7-8% decrease in the length of the rainy season, a 6-8% increase in the length of the dry season and a 20% increase in the intensity of rainfall in very short periods. Other expected impacts include increased erosion and contamination of coastal areas, sea level rise, flooding and an increase in the intensity and occurrence of natural hazards such as hurricanes. Many of the effects of climate change are already being felt on the low lying coastal zone and are expected to have significant impacts on many environmental, physical, social and economic systems in Belize.
In the agriculture sector, Belize expects a projected loss of production within the range of 10% to 20% which could lead to million dollars in lost revenue by the year 2100. The fisheries sector is also under threat from warmer sea surface temperatures, ocean acidification, sea-level rise, and extreme weather events. A decline in this industry can significantly affect Belize’s food security as well as GDP. It would also affect over 3,500 licensed fishers, which could lead to an annual loss of approximately USD$ 12.5 million per year.
The tourism industry in Belize, which is largely nature based and dependent on natural resources, will primarily be affected by extreme weather events, flooding, inundation, saltwater intrusion and erosion which will occur as a result of rising sea levels. Climate change will threaten the health of Belize’s coral reefs and will affect water supplies and physical property, all of which are critical for the sustainability of the sector. The combined effects of reduced tourism demand, loss of infrastructure, loss of beaches and the loss of the barrier reef can result in the reduced income of approximately USD$ 24 million per year. In 2015, Belize, like much of the Caribbean Basin, saw the introduction of a new economic and ecological challenge with the high rate of influx of sargassum to the region. While studies are still being carried out to understand much more effectively the origins of this influx, climate change is considered an important contributing factor. Similarly, the increase in vector-borne diseases in the region, such as the rise of Chikungunya and Zika virus, creates a significant negative image and impact on the Caribbean and Latin America travel and trade dynamics.
The country is also affected by tropical storms, tropical waves and hurricanes that move westward through the Caribbean from the months of June to November. Belize considers adaptation as a high priority given its vulnerability to natural hazards and climate-related shocks.
The impacts of climate change will increase over time and Belizean children of today will face the greatest risks, but have the least influence to affect change.
	3.2.2 Greenhouse gas emissions
The following table shows the historical GHG emissions used for the updated NDC, which has been estimated based on the national GHG emissions inventory reported in Belize’s 2020 Biennial Update Report.
Due to significant carbon storage in the Forestry and Other Land Use (FOLU) sector, the entire country of Belize is a sink of GHG emissions. The main driver of emissions in the FOLU sector is the conversion of forest land to grasslands and croplands, though carbon dioxide removals from forest growth are substantially higher than emissions from land-use change. Reduced emissions from stemming deforestation and forest degradation have been preliminarily identified as significant mitigation opportunities in the sector.
The primary GHG emitters are the energy, agriculture, waste, and industrial processes and product use (IPPU) sector.
Energy production in Belize comes from sources such as wood (11.7%), petroleum gas (0.7%), hydro (11.4%), biomass (50.1%) and crude oil (26.1%).7 In the electricity sector, 37% of electricity is imported from Mexico’s Comisión Federal de Energía. The very significant electricity imports limit the GHG emissions of the sector. Nevertheless, if these imports are replaced by fossil fuel generation, GHG emissions assigned to Belize would increase significantly. An important feedback loop is expected as a result of climate impacts – increased temperatures are expected to increase demand for cooling systems in both commercial and residential settings.
The transport sub-sector is the largest GHG emitter in the energy sector, representing a significant opportunity to reduce emissions through interventions targeting this sector.
In the agriculture sector, the primary GHG emissions sources are livestock and forest fires. The mitigation opportunities for livestock are limited, but the control of forest fires was identified as a key opportunity to reduce national GHG emissions.
In the waste sector, emissions are generated from both the solid waste and wastewater management sector. The improvement of this area will bring significant co-benefits for national health, tourism, and standards of living.
In the IPPU sector, the size of the industry of the country is limited, and a significant change is not expected in this regard. Nevertheless, consumption emissions such as the emissions coming from the refrigerant and air conditioning will be rising, as Belize expects tourism to increase in the short and medium term.",0,Manage,adaptation,Marine and coastal zones,"Management of marine, fisheries and coastal zones: coastal zone risk retention - soft structure, coastal zone risk retention - hard structure, coastal environment monitoring and risk assessment / prediction, disease management of marine resources, marine production promotion, marine ecosystem service management, marine fisheries and coastal zones education and consulting",No.,0,,,,N,National Context (3) Climate change in Belize (3.2) d
4,Belize,National Context (3),National Activity on Climate Change (3.3),e,"The NDC for Belize is consistent with the overall goal of the Growth and Sustainable Development Strategy (GSDS) which encompasses medium-term economic development, poverty reduction, and longer-term sustainable development. The GSDS is the nation’s primary planning document and outlines four critical success factors for the development of our country and to ensure a better quality of life for all Belizeans, living now and in the future.
In April 2016, Belize ratified the Paris Agreement and submitted its first Nationally Determined Contributions (NDCs) to implement the Paris Agreement. Belize’s mitigation potential proposed under its NDC covered multiple sectors such as forestry, electricity, waste and transport conditional on the availability of cost- effective technology, capacity building and adequate financial support. The initial NDC outlined actions to mitigate greenhouse gas emissions from land use and forestry, fuel wood consumption, electricity, transportation and solid waste. Encapsulated in Belize’s original NDC are conditional commitments to reduce greenhouse gas emissions and unconditional commitments to facilitate adaptation nationally.
As a member of the High Ambition Coalition, Belize has committed to increasing emissions reduction ambition in an updated NDC and developing a long-term strategy aligned with achieving net zero global emissions by 2050.8
	3.3.1 Policy landscape for climate change in Belize
The Government of Belize is committed to strategically transition to low carbon development while strengthening its resilience to the effects of climate change. Belize has mainstreamed climate change into its national development planning framework, including the long-term development plan (Horizon 2030) and medium-term development plan (Growth and Sustainable Development Strategy). In addition to the existing NDC, the government has developed a National Climate Change Policy, Strategy and Action Plan as well as a climate-resilient investment plan. Many sector-level plans include climate targets.
The 2016 NDC builds on these plans and focuses on reducing emissions from the forestry, transport, energy, and waste sectors and strengthening the resilience of coastal and marine resources, agriculture, water resources, tourism, fisheries and aquaculture, human health, infrastructure, and forestry.
The National Climate Change Policy, Strategy and Action Plan sets out the policy direction to strategically transition Belize’s economy to one that is characteristic of low-carbon development while strengthening resilience to the effects of climate change.
More specifically, relevant policies include:
●	HORIZON 2030 - the national development framework which was developed after extensive stakeholder consultation inclusive of all political parties. One of its four main pillars is responsible environmental stewardship. The strategies to achieve this pillar, namely integrating environmental sustainability into development planning and promoting sustainable energy for all, address the areas of concern relating to Belize’s emission profile.
●	THE NATIONAL ENERGY POLICY FRAMEWORK - aims to provide options that Belize can pursue for energy efficiency, sustainability and resilience over the next 30 years. Additionally, the Sustainable Energy Action Plan is a tool to achieve Belize’s renewable energy and energy efficiency potential while meeting the Government’s economic, social and environmental goals. It provides a framework of actions and tasks to overcome barriers to sustainable energy for the period 2014-2030.
●	THE NATIONAL CLIMATE RESILIENCE INVESTMENT PLAN 2013 - provides the framework for an efficient, productive and strategic approach to building economic and social resilience and development. Special importance is given to building climate resilience and reducing disaster risk
●	THE GROWTH AND SUSTAINABLE DEVELOPMENT STRATEGY - the guiding development plan for the period 2016–2019. It adopts an integrated, systemic approach and encompasses medium-term economic development, poverty reduction and longer-term sustainable development issues. This

 
planning document also provides detailed guidance on priorities and on specific actions to be taken during the planning period, including actions that contribute to longer term development objectives beyond 2019.
●	THE NATIONAL CLIMATE CHANGE POLICY, STRATEGY AND ACTION PLAN (NCCPSAP), 2015-2020 -
provides policy guidance for the development of an appropriate administrative and legislative framework, in harmony with other sectoral policies, for the pursuance of a low-carbon development path for Belize. In addition, the NCCPSAP also seeks to encourage the development of the country’s Nationally Determined Contribution and to communicate it to the UNFCCC.
●	ROADMAP FOR THE DEVELOPMENT OF A LOW CARBON DEVELOPMENT STRATEGY - creates a platform
for low carbon growth in new areas while still attaining the national development targets. The roadmap compliments the NCCPSAP and GSDS by focusing on building technical capacity, strengthening institutions and policies, facilitating public-private partnerships and engaging stakeholders to adopt sustainable practices which should lead to national resilience to the impacts of climate change.
●	THE NATIONAL SOLID WASTE MANAGEMENT POLICY (NSWMP) - the main public policy instrument regarding the management of solid waste (e.g., municipal, industrial and hazardous types of waste, among others) for Belize. Its overall goal is to ensure that “The system for managing solid wastes in Belize is financially and environmentally sustainable, and contributes to improved quality of life,"" while also contributing to the promotion of sustainable development by preventing, re-using, recycling or recovering waste wherever feasible and beneficial. The measures outlined in the NSWMP will be implemented in accordance with the National Solid Waste Management Strategy and Implementation Plan which have also been prepared.
●	In addition to these policies and strategy documents, national climate adaptation plans have been developed for the agriculture and water sectors.
	3.3.2 Activities related to climate change since the 2016 NDC submission
Blue carbon
As a Small Island Developing State, Belize recognizes that the health and integrity of coastal ecosystems are vital for the health of people and the planet. “Blue carbon”, e.g. mangrove and seagrass ecosystems, play many important roles as a nature-based solution to climate change with mitigation, adaptation, and resilience co- benefits. These ecosystems sequester and store significant amounts of carbon, safeguard frontline communities and infrastructure from climate impacts and build greater resilience, making their healthy function a triple-win for Belize by providing a carbon sink, offsetting sea level rise and coastal erosion while expanding habitat for biodiverse resources, and supporting a more resilient tourism and aquaculture industry. They are also among the most biodiverse environments on the planet and provide essential habitats for fisheries, in addition to other ecosystem services such as wave attenuation, sediment stabilization, and water filtration. Together with coral reefs, they sustain the foundation of the marine tourism economy in Belize. Protection of these vital ecosystems protects the climate, people and nature.
Since the 2016 NDC, Belize has established stronger frameworks to conserve these valuable coastal habitats. The Government of Belize endorsed the first Integrated Coastal Zone Management (ICZM) Plan in 2016, which incorporates ecosystem services and integrated risk analysis into decision-making. Further, The Forests (Protection of Mangroves) Regulations of 2018 established a permitting system that aims to safeguard mangroves and their many ecosystem services from deforestation and degradation. Other instruments such as the draft National Land Use policy (2019) speak to the need for securing the protection, rehabilitation and restoration of critical water catchment areas and forests as part of national efforts to reverse and minimize the impact of land degradation. The National Biodiversity Strategy and Action Plan (2016) aims to ensure that Belize's natural environment is valued, enhanced in resilience and contributes to an improved quality of life through securing protection and restoration of natural ecosystems, including within the coastal zone.
 
In 2020, the NCCO, in collaboration with the World Wildlife Fund and partners, convened the first Blue Carbon Working Group for Belize. The Working Group includes representatives from across government agencies, academia, civil society, communities, and other key stakeholders, and was formed to value the blue carbon potential and adaptation co-benefits of Belize’s coastal ecosystems, in order to inform targets and recommendations to strengthen their protection and effective management over the long-term. Targets and recommendations derived from the Working Group will be integrated within the policies and plans referenced above, including planned updates to the ICZM Plan, the NBSAP, the National Climate Change Policy Strategy and Action Plan, and the Forests (Protection of Mangroves) Regulations.
Mobilizing climate finance
Government of Belize has also taken a number of steps towards mobilizing finance for climate change activities from domestic and international sources. Recognizing the importance of climate finance aspects, the Climate Finance Working Group has been established under the National Committee on Climate Change (NCCC) to provide guidance to the national efforts to access, manage and effectively use climate finance. The Government of Belize has increased public capital investment in climate change, especially on resilience building aspects. In 2018-19 the government invested USD $8.9 million in domestic public finance for resilience building projects.
Belize has accessed climate finance from all climate funds under the UNFCCC finance mechanism including the Global Environment Facility (GEF), the Adaptation Fund (AF), the Special Climate Change Fund (SCCF) and the Green Climate Fund (GCF). Belize Protected Areas Conservation Trust (PACT) is the National Implementing Entity (NIE) for the Adaptation Fund and the first national accredited entity for GCF which has increased the national capacity to access climate finance.
Apart from the UNFCCC, climate finance sources have been accessed by Belize from other bilateral and multilateral agencies. Since 2010 about 30 climate change projects have been implemented in Belize with value of over USD$ 135 million (both grants and loans), in addition to another 10 regional climate change projects of over USD$ 100 million (grants and loans). The Economic Development Council (EDC) of Belize has been established to promote Public-Private-Partnerships (PPPs) which has mobilized over USD$ 200 million investments for energy sector.
Reducing Emissions from Deforestation and Forest Degradation (+)
The Government of Belize has pursued the development of its REDD+ strategy, National Forest Monitoring System, Forest Reference Level (2015-2020), and Safeguards Information System in order to pursue results- based payments under the UN REDD+ platform. The current situation is that the REDD+ Strategy is being finalized in 2021, the National Forest Monitoring System is constantly being improved, the Forest Reference Level (2015-2020) has already been technically assessed in 2020 by UNFCCC and the Safeguards Information System is currently being finalized in 2021. Beyond, and in addition to, the FOLU targets listed in this NDC, Belize intends to pursue results-based payments for the present FRL, as well as for a new FRL to be developed for 2021 to 2025.",0,Manage,adaptation,Marine and coastal zones,"Management of marine, fisheries and coastal zones: coastal zone risk retention - soft structure, coastal zone risk retention - hard structure, coastal environment monitoring and risk assessment / prediction, disease management of marine resources, marine production promotion, marine ecosystem service management, marine fisheries and coastal zones education and consulting",No.,0,,,,N,National Context (3) National Activity on Climate Change (3.3) e
5,Belize,NDC Development Process (4),Description,f,The updated NDC has been developed through a process coordinated by the National Climate Change Office and with support from a broad group of partners including sector leads from across Belize’s government and civil society and range of international organisations.,0,Manage,adaptation,Marine and coastal zones,"Management of marine, fisheries and coastal zones: coastal zone risk retention - soft structure, coastal zone risk retention - hard structure, coastal environment monitoring and risk assessment / prediction, disease management of marine resources, marine production promotion, marine ecosystem service management, marine fisheries and coastal zones education and consulting",No.,0,,,,N,NDC Development Process (4) Description f
6,Belize,NDC Development Process (4),Climate Action Enhancement Package (4.1),g,"In December 2018, the Belize National Climate Change Office formally requested support from the NDC Partnership to provide technical assistance for the updating of the country’s NDC, including the development of an NDC implementation plan, a financial strategy and a Measuring, Reporting and Verification tool for actions set out in the NDC.
The NDC Partnership accepted this request and in 2020 initiated a Climate Action Enhancement Package (CAEP). The international partners providing technical assistance under the Belize CAEP include:
●	Commonwealth Secretariat
●	International Renewable Energy Agency
●	NDC Partnership Support Unit
●	Rocky Mountain Institute
●	Climate Technology Collaboration Network (CTCN) and Fundación Bariloche
●	UNFCCC Regional Collaboration Center in Grenada (with the Caribbean Climate Change MRV Hub)
In addition to these partners, organisations involved in the development and implementation of the NDC working alongside the CAEP activities include:
●	UN Development Programme
●	World Wildlife Fund (WWF)
●	The Pew Charitable Trusts
●	Initiative for Climate Action Transparency
●	Coalition for Rainforest Nations in conjunction with the Belize FOLU roundtable
Technical assistance under the CAEP has included an assessment of policy targets, mapping of activities related to climate change, stakeholder engagement, modelling of GHG impacts in different sectors, an analysis of technology options to achieve NDC targets and the development of financing and implementation strategies.
Technical assistance provided by CfRN to the FOLU roundtable included the projections of without and with project emission scenarios for the committed activities in the land-use, land-use change and forestry sub- sector using data and emission factors from the country's GHG inventory database for the FOLU sector. CfRN also assisted by providing expert advice on ensuring harmonization among the NDC, GHG Inventory, and REDD+ Strategy.",0,Manage,adaptation,Marine and coastal zones,"Management of marine, fisheries and coastal zones: coastal zone risk retention - soft structure, coastal zone risk retention - hard structure, coastal environment monitoring and risk assessment / prediction, disease management of marine resources, marine production promotion, marine ecosystem service management, marine fisheries and coastal zones education and consulting",No.,0,,,,N,NDC Development Process (4) Climate Action Enhancement Package (4.1) g
7,Belize,NDC Development Process (4),Inclusive Development of Updated NDC (4.2),h,"The development of the updated NDC has included broad stakeholder engagement including participation of vulnerable populations in an inception workshop for the NDC update process.
Throughout the development of the updated NDC, progress has been validated through engagement with a technical committee of sector leads, including representation of indigenous peoples. Broader engagement of civil society and project owners was facilitated during an engagement phase. The actions and targets included in this updated NDC have undergone a gender and vulnerable group scoring analysis, which produced recommendations for increasing the gender sensitivity of both the medium-term implementation of the NDC and the long term low emissions development strategy under development.",0,Manage,adaptation,Marine and coastal zones,"Management of marine, fisheries and coastal zones: coastal zone risk retention - soft structure, coastal zone risk retention - hard structure, coastal environment monitoring and risk assessment / prediction, disease management of marine resources, marine production promotion, marine ecosystem service management, marine fisheries and coastal zones education and consulting",No.,0,,,,N,NDC Development Process (4) Inclusive Development of Updated NDC (4.2) h
8,Belize,Summary of Belize's Updated Nationally Determined Contributions (5),,i,"Belize is pleased to submit this updated Nationally Determined Contribution which includes both a mitigation and an adaptation component.
Targets included in this updated NDC are estimated to avoid a cumulative emissions total of 5,647 KtCO2e between 2021 and 20309 (peaking at 1,080 KtCO2e in avoided emissions in 2030).10 Key sector targets include: a 63% increase in GHG removals related to the AFOLU sector and an increase of renewable energy projects in the grid connected. Targets also include a number of sectoral actions to build resilience and develop capacity to adapt to the impacts of climate change in key economic sectors and supporting systems.
This updated NDC reflects Belize’s commitment to enhancing its climate ambition. Notably, ambition has been
integrated into the updated NDC through the following enhancements:
●	Improvements in the data availability and analysis of projections underpinning commitments, especially in the FOLU sector
●	Realistic and achievable commitments
●	Increased ambition through expanded sectoral targets.
●	Expanded coverage of gases covered in targets to include N2O and Methane in AFOLU interventions.
●	Further specification of targets including addition of time frames, quantified emissions reductions and other outcomes.
●	Increased transparency in the development of targets.
●	Detail on the financing, monitoring and implementation of actions included in the NDC.
As part of the High Ambition Coalition, Belize announced its intention to develop a long-term low emissions development strategy, which will include targets for mitigation in key sectors to 2050.
The targets and actions set out in this document demonstrate Belize’s commitment to supporting the implementation of the Paris Agreement including:
●	A set of mitigation targets in line with a global goal to keep global warming to below 2 degrees Celsius by 2100.
●	A set of adaptation actions designed to develop resilience of critical systems and populations in Belize.
●	Consideration of the costs of delivering actions identified and level of climate finance resources to support delivery of these actions.",0,Manage,adaptation,Marine and coastal zones,"Management of marine, fisheries and coastal zones: coastal zone risk retention - soft structure, coastal zone risk retention - hard structure, coastal environment monitoring and risk assessment / prediction, disease management of marine resources, marine production promotion, marine ecosystem service management, marine fisheries and coastal zones education and consulting",No.,0,,,,N,Summary of Belize's Updated Nationally Determined Contributions (5)  i
9,Belize,Mitigation Targets and Actions (6),Context (6.1),j,"Belize is committed towards achieving the central aim of the Paris Agreement by pursuing efforts to limit the
global temperature increase even to 1.5 degrees Celsius above pre-industrial levels. This commitment led to
the development and submission of Belize’s first NDC on April 20th, 2016 and the updated NDC set out below.
In parallel to the NDC update, which updates previous medium-term mitigation and adaptation targets to
2030, Belize is developing a Low Emission Development Strategy (LEDS) to set out the country’s long term
mitigation ambitions to 2050. This process, supported by the UNDP, will aim to define a long-term target for
low carbon and carbon neutral development.",0,Manage,adaptation,Marine and coastal zones,"Management of marine, fisheries and coastal zones: coastal zone risk retention - soft structure, coastal zone risk retention - hard structure, coastal environment monitoring and risk assessment / prediction, disease management of marine resources, marine production promotion, marine ecosystem service management, marine fisheries and coastal zones education and consulting",No.,0,,,,N,Mitigation Targets and Actions (6) Context (6.1) j
