index,Country,NBT Name/Title,NBT Text,Unnamed: 3,Unnamed: 4,index,Country,Theme,Mitigation and Adaptation Component,Mitigation and Adaptation Component Text,generated_sample,0.020030234
1218,Costa Rica,M.1.,"By 2020, the system of state protected areas will have been expanded by 0.5% of the ecological representativeness (SICO), in inland water and terrestrial ecosystems.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1219,Costa Rica,M.2.,"By 2020, Costa Rica will increase the protection of its coastal marine ecosystems, up to 4% of the ZEE, by incorporating them into the System of Protected Wildlife Areas and other marine spatial planning instruments.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1220,Costa Rica,M.3.,"By 2020, 70% of state protected areas will have management plans.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1221,Costa Rica,M.4.,"By 2020, 70% of state protected areas systematically apply the management effectiveness tool and adjust measures according to evaluation results.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1222,Costa Rica,M.5.,"By 2020, ecological connectivity in the country has increased by 0.15%, through the creation of terrestrial biological corridors and considering climate scenarios.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1223,Costa Rica,M.6.,"By 2025, at least six biological corridors will manage climate refuges.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1224,Costa Rica,M.7.,"By 2020, 50% of the biological corridors have a strategic plan and apply the management effectiveness tool.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1225,Costa Rica,M.8.,"As of 2018, at least two monitoring protocols are in place to determine connectivity.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1226,Costa Rica,M.9.,"By 2020, 1 milion hectars of forrest cover will have been recovered (prioritizing connectivity, climate refuges, natural remnants, restoration of dry forests, amongst others)",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1227,Costa Rica,M.10.,"By 2020, ecosystems in indigenous territories will have been recovered and restored with cultural and gender relevance.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
