index,Country,NBT Name/Title,NBT Text,index,Country,Number ,Type,Mitigation or adaptation,NDC Target Text,generated_sample
0,Belize,GOAL A (MAINSTREAMING),"Improved environmental stewardship is demonstrated across all society in Belize, with an understanding and appreciation of marine, freshwater and terrestrial biodiversity, its benefits and values.",0,Belize,6.2.1 - Land use change and forestry,Target,Mitigation  ,"Reduce GHG emissions and increase GHG removals related to land use change totalling 2,053 KtCO2e11 cumulative over the period from 2021 to 2030",#No.
1,Belize,TARGET A1,"By 2020, a framework has been designed and adopted to guide the harmonization of policies that positively impact biodiversity, across all Government departments.",0,Belize,6.2.1 - Land use change and forestry,Target,Mitigation  ,"Reduce GHG emissions and increase GHG removals related to land use change totalling 2,053 KtCO2e11 cumulative over the period from 2021 to 2030",#No.
2,Belize,TARGET A2,"By 2020, Belize has legislated and implemented a national harmonized system of environmental standards and incentives that promote environmental responsibility and sustainability.",0,Belize,6.2.1 - Land use change and forestry,Target,Mitigation  ,"Reduce GHG emissions and increase GHG removals related to land use change totalling 2,053 KtCO2e11 cumulative over the period from 2021 to 2030",#No.
3,Belize,TARGET A3,"By 2020, 100% of relevant national development decisions in Belize take into consideration ecosystem services and biodiversity relevance to the national economy.",0,Belize,6.2.1 - Land use change and forestry,Target,Mitigation  ,"Reduce GHG emissions and increase GHG removals related to land use change totalling 2,053 KtCO2e11 cumulative over the period from 2021 to 2030",#No.
4,Belize,GOAL B (PRESSURES),"Direct and indirect pressures on Belizes marine, freshwater and terrestrial ecosystems are reduced to sustain and enhance national biodiversity and ecosystem services.",0,Belize,6.2.1 - Land use change and forestry,Target,Mitigation  ,"Reduce GHG emissions and increase GHG removals related to land use change totalling 2,053 KtCO2e11 cumulative over the period from 2021 to 2030",#No.
5,Belize,TARGET B1,"By 2020, primary extractive natural resource use in terrestrial, freshwater and marine environments is guided by sustainable management plans, with improved biodiversity sustainability.",0,Belize,6.2.1 - Land use change and forestry,Target,Mitigation  ,"Reduce GHG emissions and increase GHG removals related to land use change totalling 2,053 KtCO2e11 cumulative over the period from 2021 to 2030",#No.
6,Belize,TARGET B2,"By 2020, 80% of businesses monitored in Belize are compliant with environmental standards.",0,Belize,6.2.1 - Land use change and forestry,Target,Mitigation  ,"Reduce GHG emissions and increase GHG removals related to land use change totalling 2,053 KtCO2e11 cumulative over the period from 2021 to 2030",#No.
7,Belize,TARGET B3,"Between 2016 and 2020, Belize has limited its net rate of land use change for prioritized natural ecosystems/areas to no more than 0.6% per year.",0,Belize,6.2.1 - Land use change and forestry,Target,Mitigation  ,"Reduce GHG emissions and increase GHG removals related to land use change totalling 2,053 KtCO2e11 cumulative over the period from 2021 to 2030",#No.
8,Belize,TARGET B4,"By 2020, Belize is restoring 30% of degraded ecosystems to maintain and improve the status of ecosystems and ecosystem services essential for increasing Belizes resilience to climate change impacts.",0,Belize,6.2.1 - Land use change and forestry,Target,Mitigation  ,"Reduce GHG emissions and increase GHG removals related to land use change totalling 2,053 KtCO2e11 cumulative over the period from 2021 to 2030",#No.
9,Belize,TARGET B5,"By 2025, Belize is addressing its trans-boundary issues, with 20% reduction in terrestrial impacts and 50% reduction in illegal fishing from trans-boundary incursions.",0,Belize,6.2.1 - Land use change and forestry,Target,Mitigation  ,"Reduce GHG emissions and increase GHG removals related to land use change totalling 2,053 KtCO2e11 cumulative over the period from 2021 to 2030",#No.
