Row Labels,Sum of YN,,
GOAL A (MAINSTREAMING),1,Goal a (mainstreaming),1
GOAL B (PRESSURES),4,Goal b (pressures),4
GOAL C (PROTECTION),1,Goal c (protection),1
GOAL D (BENEFITS),19,Goal d (benefits),19
GOAL E (IMPLEMENTATION),2,Goal e (implementation),2
TARGET A1,0,Target A1,0
TARGET A2,0,Target A2,0
TARGET A3,11,Target A3,11
TARGET A4,0,Target A4,0
TARGET B1,2,Target B1,2
TARGET B2,0,Target B2,0
TARGET B3,1,Target B3,1
TARGET B4,9,Target B4,9
TARGET B5,1,Target B5,1
TARGET B6,0,Target B6,0
TARGET C1,1,Target C1,1
TARGET C2,2,Target C2,2
TARGET C3,0,Target C3,0
TARGET C4,0,Target C4,0
TARGET C5,0,Target C5,0
TARGET D1,5,Target D1,5
TARGET D2,1,Target D2,1
TARGET E1,2,Target E1,2
TARGET E2,0,Target E2,0
TARGET E3,0,Target E3,0
Grand Total,62,,
