index,Country,NBT Name/Title,NBT Text - English,Unnamed: 3,Unnamed: 4,index,Country,Theme,Mitigation and Adaptation Component,Mitigation and Adaptation Component Text,generated_sample,,,,
1218,Costa Rica,M.1.,"By 2020, the system of state protected areas will have been expanded by 0.5% of the ecological representativeness (SICO), in inland water and terrestrial ecosystems.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#0.000 #No identified similarity.,,,,
1219,Costa Rica,M.2.,"By 2020, Costa Rica will increase the protection of its coastal marine ecosystems, up to 4% of the ZEE, by incorporating them into the System of Protected Wildlife Areas and other marine spatial planning instruments.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#0.000 #No identified similarity.,,,,
1220,Costa Rica,M.3.,"By 2020, 70% of state protected areas will have management plans.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#0.000 #No identified similarity.,,,,
1221,Costa Rica,M.4.,"By 2020, 70% of state protected areas systematically apply the management effectiveness tool and adjust measures according to evaluation results.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#0.000 #No identified similarity.,,,,
1222,Costa Rica,M.5.,"By 2020, ecological connectivity in the country has increased by 0.15%, through the creation of terrestrial biological corridors and considering climate scenarios.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#0.000 #No identified similarity.,,,,
1223,Costa Rica,M.6.,"By 2025, at least six biological corridors will manage climate refuges.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#0.000 #No identified similarity.,,,,
1224,Costa Rica,M.7.,"By 2020, 50% of the biological corridors have a strategic plan and apply the management effectiveness tool.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#0.000 #No identified similarity.,,,,
1225,Costa Rica,M.8.,"As of 2018, at least two monitoring protocols are in place to determine connectivity.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#0.000 #No identified similarity.,,,,
1226,Costa Rica,M.9.,"By 2020, 1 milion hectars of forrest cover will have been recovered (prioritizing connectivity, climate refuges, natural remnants, restoration of dry forests, amongst others)",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#0.000 #No identified similarity.,,,,
1227,Costa Rica,M.10.,"By 2020, ecosystems in indigenous territories will have been recovered and restored with cultural and gender relevance.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#0.000 #No identified similarity.,,,,
1228,Costa Rica,M.11.,"By 2020, the weighted valuation of indicators and benchmarks will be improved in the first three priority watersheds: Jesús María and Barranca.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#0.000 #No identified similarity.,,,,
1229,Costa Rica,M.12.,"By 2020, the area of wetlands under the RAMSAR category will have increased to 589,742 ha.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#0.000 #No identified similarity.,,,,
1230,Costa Rica,M.13.,"By 2020, seven local management plans will have been developed at RAMSAR areas.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#0.000 #No identified similarity.,,,,
1231,Costa Rica,M.14.,"By 2020, mangroves will recover two points above the coverage determined for this ecosystem (725 ha).",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#0.000 #No identified similarity.,,,,
1232,Costa Rica,M.15.,Increases the percentage of coral reef cover under restoration and protection processes.,,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#0.000 #No identified similarity.,,,,
1233,Costa Rica,M.16.,"By 2020, to have 30% of the national inventory of aquifers geo-referenced and categorized.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#0.000 #No identified similarity.,,,,
1234,Costa Rica,M.17.,"By 2020, 15 plans for the sustainable use of aquifers will have been developed.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#0.000 #No identified similarity.,,,,
1235,Costa Rica,M.18.,To have a national list of endangered and threatened species updated every five years.,,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#0.000 #No identified similarity.,,,,
1236,Costa Rica,M.19.,"The number of seized species of fauna and flora (including products and by-products, especially CITES) is reduced.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#0.000 #No identified similarity.,,,,
1237,Costa Rica,M.20.,"Determine the number of areas with captive wildlife and their status, as well as systematized Ex Situ collections.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#0.000 #No identified similarity.,,,,
1238,Costa Rica,M.21.,Improve public awareness of the illegality and problems associated with wildlife trade and possession (linked to topic 5).,,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#0.000 #No identified similarity.,,,,
1239,Costa Rica,M.22.,Eight initiatives or projects to improve the conservation of wild relatives of crops important for food and agriculture by 2020.,,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#0.000 #No identified similarity.,,,,
1240,Costa Rica,M.23.,Conservation measures for endangered native forest species are improved.,,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#0.000 #No identified similarity.,,,,
1241,Costa Rica,M.24.,"By 2020, measures for seed conservation and production (food and native forest) will be supported and established in indigenous peoples and local communities with cultural and gender-sensitive relevance.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#0.000 #No identified similarity.,,,,
1242,Costa Rica,M.25.,"By 2020, the main agroecosystems will be characterized and geographically identified.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#0.000 #No identified similarity.,,,,
1243,Costa Rica,M.26.,"By 2020, to have a biodiversity characterization of at least three productive systems (forestry, agriculture, aquaculture and fisheries) and in health (vectors).",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#0.000 #No identified similarity.,,,,
1244,Costa Rica,M.27.,"By 2018, the country will have defined a list of priority invasive species to develop protocols and management measures.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#0.000 #No identified similarity.,,,,
1245,Costa Rica,M.28.,"By 2020, better knowledge and technical provisions will be in place to control at least five prioritized invasive species.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#0.000 #No identified similarity.,,,,
1246,Costa Rica,M.29.,"By 2020, capacities will be strengthened to assess, avoid and prevent the risks of introducing LMOs (living modified organisms) into their environment, as well as possible impacts resulting from synthetic biology.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#0.000 #No identified similarity.,,,,
1247,Costa Rica,M.30.,"By 2018, cumulative impact assessment methods will be determined.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#0.000 #No identified similarity.,,,,
1248,Costa Rica,M.31.,"By 2018, establish a digital platform that allows citizens and public institutions to carry out their procedures before SETENA in a structured, accessible and online way; including geospatial data to update and feedback MINAE's thematic maps.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#0.000 #No identified similarity.,,,,
1249,Costa Rica,M.32.,"By 2020, technical tools will be available to assess ecological limits, particularly freshwater and coastal marine.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#0.000 #No identified similarity.,,,,
1250,Costa Rica,M.33.,"By 2020, a technical instrument will be implemented for the environmental assessment of plans, authorization for the use and exploitation of natural resources, and human activities developed in coastal and marine areas. This instrument will be developed with a focus on rights, gender and cultural relevance.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#0.000 #No identified similarity.,,,,
1251,Costa Rica,M.34.,Decrease by 10% the number of forest fires outside the PSAs.,,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#0.000 #No identified similarity.,,,,
