index,Country,Target Text,Target Name,Document,Source,Convention,Doc,Type,Target Textt,index,Themes,Texts,Area,Textt,generated_sample
0,Belarus,"Integration of the function of biodiversity conservation into the schemes of complex territorial organization of the Republic of Belarus, ensuring minimization of the threat of loss of natural ecosystems and objects of high value for biodiversity conservation, maintaining ecological integrity and connectivity of natural ecosystems",Target 1,CBD Online Reporting Tool,https://ort.cbd.int/,nature,NBSAP,NBTs,"Integration of the function of biodiversity conservation into the schemes of complex territorial organization of the Republic of the country, ensuring minimization of the threat of loss of natural ecosystems and objects of high value for biodiversity conservation, maintaining ecological integrity and connectivity of natural ecosystems",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",0
1,Belarus,Ensure restoration of at least 30% of disturbed and underutilized ecological systems to improve biodiversity and enhance ecosystem functions and services,Target 2,CBD Online Reporting Tool,https://ort.cbd.int/,nature,NBSAP,NBTs,Ensure restoration of at least 30% of disturbed and underutilized ecological systems to improve biodiversity and enhance ecosystem functions and services,0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",0
2,Belarus,"Development of the system of protected areas and natural territories subject to special protection, designed to preserve natural ecological systems, biological and landscape diversity, as well as to ensure the continuity of habitat for wildlife (the area of protected areas by 2030 - 9.2 %; the area of protected areas by 2035 - 9.6 %; the area of territories subject to special protection by 2025 - 9.2 %). - 9.2 %; the area of protected areas by 2035 - 9.6 %, the area of territories subject to special protection by 2025 - 22 %). - 22 %)",Target 3,CBD Online Reporting Tool,https://ort.cbd.int/,nature,NBSAP,NBTs,"Development of the system of protected areas and natural territories subject to special protection, designed to preserve natural ecological systems, biological and landscape diversity, as well as to ensure the continuity of habitat for wildlife (the area of protected areas by 2030 - 9.2 %; the area of protected areas by 2035 - 9.6 %; the area of territories subject to special protection by 2025 - 9.2 %). - 9.2 %; the area of protected areas by 2035 - 9.6 %, the area of territories subject to special protection by 2025 - 22 %). - 22 %)",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",0
3,Belarus,"Reduction of surface and groundwater pollution from all sources of pollution to levels that do not harm biodiversity and ecosystem functions of aquatic ecosystems, improvement of ecological condition (status) of surface water bodies, use of biologically safe fertilizers and pesticides based on scientific data with due regard to food security, phased elimination of obsolete pesticides",Target 7,CBD Online Reporting Tool,https://ort.cbd.int/,nature,NBSAP,NBTs,"Reduction of surface and groundwater pollution from all sources of pollution to levels that do not harm biodiversity and ecosystem functions of aquatic ecosystems, improvement of ecological condition (status) of surface water bodies, use of biologically safe fertilizers and pesticides based on scientific data with due regard to food security, phased elimination of obsolete pesticides",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",0
4,Belarus,"Ensure sustainable use of flora objects, protection and rational (sustainable) use of forest resources, conservation of biological and genetic diversity of forests, their environment-forming, water protection, protective, sanitary-hygienic, recreational and other functions, taking into account the increasing anthropogenic impact and climate change",Target 9,CBD Online Reporting Tool,https://ort.cbd.int/,nature,NBSAP,NBTs,"Ensure sustainable use of flora objects, protection and rational (sustainable) use of forest resources, conservation of biological and genetic diversity of forests, their environment-forming, water protection, protective, sanitary-hygienic, recreational and other functions, taking into account the increasing anthropogenic impact and climate change",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",0
5,Belarus,"To ensure sustainable environmentally safe agriculture, taking into account natural, climatic and other risks, aimed at strengthening the country's food security, ensuring nutrition and healthy lifestyle of the population, organic farming, rational use of peat soils.",Target 10,CBD Online Reporting Tool,https://ort.cbd.int/,nature,NBSAP,NBTs,"To ensure sustainable environmentally safe agriculture, taking into account natural, climatic and other risks, aimed at strengthening the country's food security, ensuring nutrition and healthy lifestyle of the population, organic farming, rational use of peat soils.",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",0
6,Belarus,"Implementation of a set of measures to minimize the negative impact of climate change on biological and landscape diversity, development of a targeted integrated strategy for environmental adaptation to projected climate change, including atmospheric air, water resources and ecosystems, land resources and soils, biological and landscape diversity",Target 11,CBD Online Reporting Tool,https://ort.cbd.int/,nature,NBSAP,NBTs,"Implementation of a set of measures to minimize the negative impact of climate change on biological and landscape diversity, development of a targeted integrated strategy for environmental adaptation to projected climate change, including atmospheric air, water resources and ecosystems, land resources and soils, biological and landscape diversity",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",0
7,Belarus,"Inclusion of conservation and sustainable use of biological diversity in draft state programs and other state planning documents (concepts, strategies, forecasts) related to the use of natural resources and impacting natural complexes and ecological systems",Target 14,CBD Online Reporting Tool,https://ort.cbd.int/,nature,NBSAP,NBTs,"Inclusion of conservation and sustainable use of biological diversity in draft state programs and other state planning documents (concepts, strategies, forecasts) related to the use of natural resources and impacting natural complexes and ecological systems",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",0
8,Belarus,"Creation of legal and economic mechanisms stimulating rational (sustainable) use of natural resources, establishment of economic incentives in the field of environmental protection, including the application of the best available technical methods, resource-saving technologies and practices, “green” procurement, attraction of investors in biodiversity financing",Target 15,CBD Online Reporting Tool,https://ort.cbd.int/,nature,NBSAP,NBTs,"Creation of legal and economic mechanisms stimulating rational (sustainable) use of natural resources, establishment of economic incentives in the field of environmental protection, including the application of the best available technical methods, resource-saving technologies and practices, “green” procurement, attraction of investors in biodiversity financing",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",0
9,Belarus,Ensure mobilization of financial resources for implementation of measures on conservation and sustainable use of biological diversity,Target 16,CBD Online Reporting Tool,https://ort.cbd.int/,nature,NBSAP,NBTs,Ensure mobilization of financial resources for implementation of measures on conservation and sustainable use of biological diversity,0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",0
