index,Country,Target Text,Target Name,Document,Source,Convention,Tipo de Meta,Sector,Doc,Type,Target Textt,index,Themes,Texts,Area,Textt,generated_sample
0,Panama,"A 2050, el 30% de la capacidad instalada de la matriz eléctrica deberá provenir de fuentes de energía renovables no convencionales.",Meta 1.1,Segunda Contribución Determinada a Nivel Nacional ,https://sinia.gob.pa/segunda-contribucion-determinada-a-nivel-nacional-cdn2/,Clima,No-GEI,Energía,CDN,Metas de las CDN,"By 2050, 30% of the installed capacity of the electricity matrix must come from unconventional renewable energy sources.",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",0
1,Panama,"A 2050, Panamá logrará una reducción de las emisiones totales del sector energía del país en al menos el 24% y en al menos 11.5% al 2030, con respecto al escenario tendencial, que representan un estimado de 60 millones de toneladas de CO2 equivalentes acumuladas entre 2022-2050 y hasta 10 millones de toneladas de CO2 equivalentes acumuladas entre 2022-2030.",Meta 1.2,Segunda Contribución Determinada a Nivel Nacional ,https://sinia.gob.pa/segunda-contribucion-determinada-a-nivel-nacional-cdn2/,Clima,GEI,Energía,CDN,Metas de las CDN,"By 2050, the country will achieve a reduction of total emissions from the country's energy sector of at least 24% and at least 11.5% by 2030, compared to the business-as-usual scenario, which represents an estimated 60 million tons of Carbon Dioxide equivalent accumulated between 2022-2050 and up to 10 million tons of Carbon Dioxide equivalent accumulated between 2022-2030.",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",0
2,Panama,"Al 2025, Panamá contará con un Plan de Adaptación del sector Energía con co-beneficio de mitigación.",Meta 1.3,Segunda Contribución Determinada a Nivel Nacional ,https://sinia.gob.pa/segunda-contribucion-determinada-a-nivel-nacional-cdn2/,Clima,No-GEI,Energía,CDN,Metas de las CDN,"By 2025, the country will have an Energy Sector Adaptation Plan with Carbon monoxide-benefits for mitigation.",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",0
3,Panama,Eliminación de la generación con Carbón en la Matriz Eléctrica al 2026.,Meta 1.4,Segunda Contribución Determinada a Nivel Nacional ,https://sinia.gob.pa/segunda-contribucion-determinada-a-nivel-nacional-cdn2/,Clima,GEI,Energía,CDN,Metas de las CDN,Elimination of coal generation in the electricity matrix by 2026.,0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",0
4,Panama,"Al 2027, Panamá logrará generar 21.000 nuevos empleos desarrollados en paridad por medio de la implementación de la Transición Energética.",Meta 1.5,Segunda Contribución Determinada a Nivel Nacional ,https://sinia.gob.pa/segunda-contribucion-determinada-a-nivel-nacional-cdn2/,Clima,No-GEI,Energía,CDN,Metas de las CDN,"By 2027, the country will achieve the creation of 21,000 new jobs developed in parity through the implementation of the Energy Transition.",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",0
5,Panama,"Al 2030, se alcanzará el acceso universal. 1. Al 2024, Panamá contará con un Plan de Electrificación Rural. 2. Al 2027, se habrá provisto de electricidad con energías renovables y energéticos limpios para cocinar al 60% de los hogares pendientes que no cuentan con estos servicios con respecto al 2023.",Meta 1.6,Segunda Contribución Determinada a Nivel Nacional ,https://sinia.gob.pa/segunda-contribucion-determinada-a-nivel-nacional-cdn2/,Clima,No-GEI,Energía,CDN,Metas de las CDN,"By 2030, universal access will be achieved. 1. By 2024, the country will have a Rural Electrification Plan. 2. By 2027, 60% of the remaining households that do not have these services will be provided with electricity from renewable energy and clean cooking fuels compared to 2023.",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",0
6,Panama,"Al 2030, el 10 % - 20 % del total de la flota de vehículos privados serán eléctricos. 1. Al 2027, del 7% - 18% vehículos privados del total de la flota de vehículos privados son eléctricos.",Meta 1.7,Segunda Contribución Determinada a Nivel Nacional ,https://sinia.gob.pa/segunda-contribucion-determinada-a-nivel-nacional-cdn2/,Clima,GEI,Energía,CDN,Metas de las CDN,"By 2030, 10% - 20% of the total private vehicle fleet will be electric. 1. By 2027, 7% - 18% of private vehicles in the total private vehicle fleet will be electric.",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",0
7,Panama,"Al 2030, el 25 % - 40 % de las ventas de vehículos privados serán de vehículos eléctricos. 1. Al 2027, del 15% - 30% de las ventas de vehículos privados serán eléctricos.",Meta 1.8,Segunda Contribución Determinada a Nivel Nacional ,https://sinia.gob.pa/segunda-contribucion-determinada-a-nivel-nacional-cdn2/,Clima,GEI,Energía,CDN,Metas de las CDN,"By 2030, 25% - 40% of private vehicle sales will be electric. 1. By 2027, 15% - 30% of private vehicle sales will be electric.",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",0
8,Panama,"Al 2030, el 15 % - 35 % de los autobuses de las flotas de concesiones autorizadas serán eléctricos. 1. Al 2027, del 14% - 25% de los autobuses de las flotas de concesiones autorizadas serán eléctricos.",Meta 1.9,Segunda Contribución Determinada a Nivel Nacional ,https://sinia.gob.pa/segunda-contribucion-determinada-a-nivel-nacional-cdn2/,Clima,No-GEI,Energía,CDN,Metas de las CDN,"By 2030, 15% - 35% of the buses in authorized concession fleets will be electric. 1. By 2027, 14% - 25% of the buses in authorized concession fleets will be electric.",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",0
9,Panama,"Al 2030, el 25 % - 50 % de las flotas públicas estarán compuestas de vehículos eléctricos. 1. Al 2027, del 21% - 35% de las flotas públicas estarán compuestas de vehículos eléctricos.",Meta 1.10,Segunda Contribución Determinada a Nivel Nacional ,https://sinia.gob.pa/segunda-contribucion-determinada-a-nivel-nacional-cdn2/,Clima,No-GEI,Energía,CDN,Metas de las CDN,"By 2030, 25% - 50% of public fleets will be composed of electric vehicles. 1. By 2027, 21% - 35% of public fleets will be composed of electric vehicles.",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",0
