2030 Agenda for Sustainable Development,Agenda 2030 pour le développement durable,EN,FR
2030 Targets (with Guidance Notes),Cibles 2030 (avec notes d'orientation),EN,FR
Active management of species,Gestion active des espèces,EN,FR
Aichi Biodiversity Targets,Objectifs d'Aichi pour la biodiversité,EN,FR
Alignment and implementation,Alignement et mise en œuvre,EN,FR
area-based conservation measures,mesures de conservation efficaces par zone,EN,FR
Assessment Report,Rapport d'Évaluation,EN,FR
Biodiversity Information System,Système mondial d'information sur la biodiversité,EN,FR
Biological diversity,Diversité biologique,EN,FR
Biosafety measures,Mesures de biosécurité,EN,FR
BIS,SIB,EN,FR
Capacity development,Développement des capacités,EN,FR
CBD,CDB,EN,FR
Certificate of completion,Certificat de réussite,EN,FR
Clearing-House Mechanism,Centre d'échange,EN,FR
Climate Hub,Hub Climat,EN,FR
Climate Promise,Promesse pour le climat,EN,FR
Community of practice,Communauté de pratique,EN,FR
Conference of Parties,Conférence des parties,EN,FR
Contracting Parties,Parties contractantes,EN,FR
Convention on Biological Diversity,Convention sur la diversité biologique,EN,FR
Crisis Prevention and Recovery,Prévention des crises et rétablissement,EN,FR
"Cross-sectoral plans, programmes and policies","Plans, programmes et politiques intersectoriels",EN,FR
Democratic governance,Gouvernance démocratique,EN,FR
E-learning platform,Plate-forme d'apprentissage en ligne,EN,FR
Early Action Support project,Projet de soutien aux actions précoces,EN,FR
EBA,AbE,EN,FR
Ecosystem restoration,Restauration des écosystèmes,EN,FR
ecosystem-based approaches,l'adaptation basée sur les écosystèmes,EN,FR
Eliminate harmful incentives,Éliminer les incitations nuisibles,EN,FR
English,French,EN,FR
Equator Prize,Prix Équator,EN,FR
FPIC,CLPE,EN,FR
Framework,Cadre,EN,FR
"free, prior and informed consent","consentement préalable, libre et éclairé",EN,FR
GBF,CMB,EN,FR
GBF Goal,Objectif CMB,EN,FR
GBF Target,Cible CMB,EN,FR
Gender equality,Egalité des genres,EN,FR
General Measures for Conservation and Sustainable Use,Mesures générales en vue de la conservation et de l'utilisation durable,EN,FR
Genetic resources,Ressources génétiques,EN,FR
Global Biodiversity Framework,Cadre Mondial pour la Biodiversité,EN,FR
Global biodiversity goals,Objectifs mondiaux en matière de biodiversité,EN,FR
Global biodiversity targets,Cibles mondiales en matière de biodiversité,EN,FR
Global Environmental Facility,Fonds pour l'environnement mondial,EN,FR
Global goals,Objectifs mondiaux,EN,FR
Global Governance Committee,Comité de gouvernance mondiale,EN,FR
Global partnership,Partenariat global,EN,FR
Global targets,Cibles mondiales,EN,FR
goal,objectif,EN,FR
Goal,Objectif,EN,FR
Goal 14: Life below Water,Objectif 14: Vie aquatique,EN,FR
Goal 15: Life on Land,Objectif 15: Vie terrestre,EN,FR
indigenous and traditional territories,territoires autochtones et traditionnels,EN,FR
indigenous peoples and local communities,peuples autochtones et communautés locales,EN,FR
Indigenous peoples and local communities,Peuples autochtones et communautés locales,EN,FR
indigenous territories,territoires autochtones,EN,FR
Intergovernmental Panel on Climate Change,Groupe d'experts intergouvernemental sur l'évolution du climat,EN,FR
Intergovernmental Science-Policy Platform on Climate Change,Plateforme intergouvernementale scientifique et politique sur le changement climatique,EN,FR
Invasive alien species,Espèces exotiques envahissantes,EN,FR
IPCC,GIEC,EN,FR
IPLC,PLCA,EN,FR
KBA,ZCB,EN,FR
key biodiversity areas,zones clés de biodiversité,EN,FR
Knowledge management,Gestion des connaissances,EN,FR
Kunming-Montreal Global Biodiversity Framework,Cadre mondial de la biodiversité de Kunming-Montréal,EN,FR
Land and sea-use planning,Aménagement du territoire et de la mer,EN,FR
Land Degradation Neutrality,Neutralité en Matière de Dégradation des Terres,EN,FR
LDN,NDT,EN,FR
Learning for Nature,Apprendre pour la nature,EN,FR
Mainstreaming,Intégration,EN,FR
Means of implementation,Moyens de mise en œuvre,EN,FR
"Mechanisms for planning, monitoring, reporting and review","Mécanismes de planification, de suivi, d'établissement de rapports et d'examen",EN,FR
Multi-stakeholder dialogue,Dialogue entre les parties prenantes,EN,FR
Multilateral environmental agreements,Accords multilatéraux sur l'environnement,EN,FR
National Biodiversity Strategies and Action Plans,Stratégies et plans d'action nationaux pour la biodiversité,EN,FR
National biodiversity targets,Cibles nationales en matière de biodiversité,EN,FR
National Targets,Cibles Nationales,EN,FR
National Target,Cible Nationale,EN,FR
national targets,cibles nationales,EN,FR
national target,cible nationale,EN,FR
Nature Hub,Hub Nature,EN,FR
Nature Pledge,Engagement pour la nature,EN,FR
nature-based solutions,solutions basées sur la nature,EN,FR
NBS,SFN,EN,FR
NBSAP,SPANB,EN,FR
NBSAP Forum,NBSAP Forum,EN,FR
NBT,CNB,EN,FR
Peer-to-peer learning,Apprentissage entre pairs,EN,FR
protected areas,aires protegées,,
Protected Areas,Aires Protegées,EN,FR
Secretariat of the Convention on Biological Diversity,Secrétariat de la Convention sur la diversité biologique,EN,FR
Self-paced course,Cours à votre rythme,EN,FR
Specialist biodiversity assessment centre,Centre d'évaluation de la biodiversité,EN,FR
Stakeholder,Partie prenante,EN,FR
Strategic Plan for Biodiversity 2011-2020,Plan stratégique pour la diversité biologique 2011-2020,EN,FR
Sustainable Development Goals,Objectifs de développement durable,EN,FR
target,cible,EN,FR
Target,Cible,EN,FR
Technical guidance document,Document d'orientation technique,EN,FR
Technical help desk,Service d'assistance technique,EN,FR
the Framework,le Cadre,EN,FR
the GBF,le CMB,EN,FR
The Global Biodiversity Outlook,Les perspectives mondiales de la biodiversité,EN,FR
the NBT,la CNB,EN,FR
the Target,la Cible,EN,FR
UNFCCC,CCNUCC,EN,FR
United Nations Development Programme,Programme des Nations unies pour le développement,EN,FR
United Nations Environment Programme,Programme des Nations unies pour l'environnement,EN,FR
United Nations Environment Programme-World Conservation Monitoring Centre,Programme des Nations unies pour l'environnement - Centre mondial de surveillance de la conservation,EN,FR
United Nations Framework Convention on Climate Change,Convention-cadre des Nations Unies sur les changements climatiques,EN,FR
United Nations Member States,États membres des Nations unies,EN,FR
Vertical integration,Intégration verticale,EN,FR
Equator Prize,Prix Équateur,EN,FR
Equator Initiative,Initiative Équateur,EN,FR
