2030 Agenda for Sustainable Development,Agenda 2030 para el Desarrollo Sostenible,EN,ES
2030 Targets (with Guidance Notes),Objetivos para 2030 (con notas orientativas),EN,ES
Active management of species,Gestión activa de las especies,EN,ES
Aichi Biodiversity Targets,Metas de Aichi para la Biodiversidad,EN,ES
Alignment and implementation,Alineación e implementación,EN,ES
Assessment Report,Informe de evaluación,EN,ES
Biodiversity Information System,Sistema de Información sobre Biodiversidad,EN,ES
Biological diversity,Diversidad biológica,EN,ES
Biosafety measures,Medidas de seguridad de la biotecnología,EN,ES
BIS,SIB,EN,ES
Capacity development,Desarrollo de las capacidades,EN,ES
CBD,CDB,EN,ES
Certificate of completion,Certificado de realización,EN,ES
Clearing-House Mechanism,Mecanismo de facilitación,EN,ES
Climate Hub,Hub Climático,EN,ES
Climate Promise,Promesa Climática,EN,ES
Community of practice,Comunidad de práctica,EN,ES
Conference of Parties,Conferencia de las Partes,EN,ES
Contracting Parties,Partes contratantes,EN,ES
Convention on Biological Diversity,Convenio sobre la Diversidad Biológica,EN,ES
Crisis Prevention and Recovery,Prevención de crisis y recuperación,EN,ES
"Cross-sectoral plans, programmes and policies","Planes, programas y políticas intersectoriales",EN,ES
Democratic governance,Best translation Spanish,EN,ES
E-learning platform,Plataforma de e-learning,EN,ES
Early Action Support project,Proyecto de Apoyo a la Acción Temprana,EN,ES
EBA,AbE,EN,ES
Ecosystem restoration,Restauración de ecosistemas,EN,ES
ecosystem-based approaches,adaptación basada en ecosistemas,EN,ES
Eliminate harmful incentives,Eliminar los incentivos perjudiciales,EN,ES
English,Spanish,EN,ES
FPIC,CLPI,EN,ES
Framework,Marco,EN,ES
"free, prior and informed consent","consentimiento libre, previo e informado",EN,ES
GBF,MMB,EN,ES
GBF Goal,Objetivo MMB,EN,ES
GBF Target,Meta MMB,EN,ES
Gender equality,Igualdad de género,EN,ES
General Measures for Conservation and Sustainable Use,Medidas generales a los efectos de la conservación y la utilización sostenible,EN,ES
Genetic resources,Recursos genéticos,EN,ES
Global Biodiversity Framework,Marco Mundial de la Biodiversidad,EN,ES
Global biodiversity goals,Objetivos mundiales de biodiversidad,EN,ES
Global biodiversity targets,Metas mundiales de biodiversidad,EN,ES
Global Environmental Facility,Fondo Mundial para el Medio Ambiente,EN,ES
Global goals,Objetivos mundiales,EN,ES
Global Governance Committee,Comité de Gobernanza Mundial,EN,ES
Global partnership,Asociación mundial,EN,ES
Global targets,Metas mundiales,EN,ES
goal,objetivo,EN,ES
Goal,Objetivo,EN,ES
Goal 14: Life below Water,Objetivo 14: Vida submarina,EN,ES
Goal 15: Life on Land,Objetivo 15: Vida de ecosistemas terrestres,EN,ES
indigenous and traditional territories,Territorios indígenas y tradicionales,EN,ES
indigenous peoples and local communities,pueblos indígenas y comunidades locales,EN,ES
Indigenous peoples and local communities,Pueblos indígenas y comunidades locales,EN,ES
indigenous territories,Territorios indígenas,EN,ES
Intergovernmental Panel on Climate Change,Panel Intergubernamental sobre el Cambio Climático,EN,ES
Intergovernmental Science-Policy Platform on Climate Change,Plataforma intergubernamental científico-normativa sobre diversidad biológica y servicios de los ecosistemas,EN,ES
Invasive alien species,Especies exóticas invasoras,EN,ES
IPLC,PICL,EN,ES
KBA,ACB,EN,ES
key biodiversity area,área clave de biodiversidad,EN,ES
Knowledge management,Gestión del conocimiento,EN,ES
Kunming-Montreal Global Biodiversity Framework,Marco Mundial de Biodiversidad de Kunming-Montreal,EN,ES
Land and sea-use planning,Planificación del uso de la tierra y el mar,EN,ES
Land Degradation neutrality,Neutralidad de la Degradación de las Tierras,EN,ES
LDN,NDT,EN,ES
Learning for Nature,Learning for Nature,EN,ES
Mainstreaming,Integración,EN,ES
Means of implementation,Medios de implementación,EN,ES
"Mechanisms for planning, monitoring, reporting and review","Mecanismos para la planificación, el seguimiento, la presentación de informes y la revisión",EN,ES
Multi-stakeholder dialogue,Diálogo entre las partes interesadas,EN,ES
Multilateral environmental agreements,Acuerdos multilaterales sobre medio ambiente,EN,ES
National Biodiversity Strategies and Action Plans,Estrategias y Planes de Acción Nacionales en materia de Biodiversidad,EN,ES
National biodiversity targets,Metas nacionales de biodiversidad,EN,ES
National Targets,Metas Nacionales,EN,ES
National Target,Meta Nacionale,EN,ES
national targets,metas nacionales,EN,ES
national target,meta nacionale,EN,ES
Nature Hub,Hub de Naturaleza,EN,ES
Nature Pledge,Compromiso por la Naturaleza,EN,ES
nature-based solutions,soluciones basadas en la naturaleza,EN,ES
NBS,SBN,EN,ES
NBSAP,EPANB,EN,ES
NBSAP Forum,NBSAP Forum,EN,ES
NBT,MNB,EN,ES
Peer-to-peer learning,Aprendizaje entre pares,EN,ES
Protected Areas,Áreas Protegidas,EN,ES
Secretariat of the Convention on Biological Diversity,Secretaría del Convenio sobre la Diversidad Biológica,EN,ES
Self-paced course,Curso a su propio ritmo,EN,ES
Specialist biodiversity assessment centre,Centro especializado en evaluación de la biodiversidad,EN,ES
Stakeholder,Partes interesadas,EN,ES
Strategic Plan for Biodiversity 2011-2020,Plan Estratégico para la Diversidad Biológica 2011-2020,EN,ES
Sustainable Development Goals,Objetivos de Desarrollo Sostenible,EN,ES
target,meta,EN,ES
Target,Meta,EN,ES
Technical guidance document,Documento de orientación técnica,EN,ES
Technical help desk,Servicio de asistencia técnica,EN,ES
the Framework,el Marco,EN,ES
the GBF,el MMB,EN,ES
The Global Biodiversity Outlook,Perspectiva Mundial sobre la Diversidad Biólogica,EN,ES
the NBT,la MNB,EN,ES
the Target,la Meta,EN,ES
UNFCCC,CMNUCC,EN,ES
United Nations Development Programme,Programa de las Naciones Unidas para el Desarrollo,EN,ES
United Nations Environment Programme,Programa de las Naciones Unidas para el Medio Ambiente,EN,ES
United Nations Environment Programme-World Conservation Monitoring Centre,Programa de las Naciones Unidas para el Medio Ambiente-Centro Mundial de Monitoreo de la Conservación,EN,ES
United Nations Framework Convention on Climate Change,Convención Marco de las Naciones Unidas sobre el Cambio Climático,EN,ES
United Nations Member States,Estados miembros de las Naciones Unidas,EN,ES
Vertical integration,Integración vertical,EN,ES
Equator Prize,Premio Ecuatorial,EN,ES
Equator Initiative,Iniciativa Ecuatorial,EN,ES
