index,Country,Target Text,Target Name,index,Country,Target Text,Target Name,generated_sample
0,Sri Lanka,Ensure biodiversity inclusive spatial planning and management to prevent biodiversity loss,Draft NBT 1,0,Sri Lanka,Adopt renewable energy for livestock applications,NDC 6 - Agriculture (mitigation),No alignment
1,Sri Lanka,Restore 30% of all degraded ecosystems in the island and surrounding sea by 2030,Draft NBT 2,0,Sri Lanka,Adopt renewable energy for livestock applications,NDC 6 - Agriculture (mitigation),No alignment
2,Sri Lanka,"Conserve 30% of the island's land, wetlands, and seas",Draft NBT 3,0,Sri Lanka,Adopt renewable energy for livestock applications,NDC 6 - Agriculture (mitigation),No alignment
3,Sri Lanka,"Halt species extinction, protect genetic diversity, and manage human-wildlife conflict",Draft NBT 4,0,Sri Lanka,Adopt renewable energy for livestock applications,NDC 6 - Agriculture (mitigation),No alignment
4,Sri Lanka,"Ensure sustainable, safe and legal harvesting and trade of wild species",Draft NBT 5,0,Sri Lanka,Adopt renewable energy for livestock applications,NDC 6 - Agriculture (mitigation),No alignment
5,Sri Lanka,Reduce introduction of Invasive Alien Species (Invasive Alien Species) by 50% and minimize impact,Draft NBT 6,0,Sri Lanka,Adopt renewable energy for livestock applications,NDC 6 - Agriculture (mitigation),No alignment
6,Sri Lanka,Reduce pollution and manage waste to prevent harm to biodiversity,Draft NBT 7,0,Sri Lanka,Adopt renewable energy for livestock applications,NDC 6 - Agriculture (mitigation),No alignment
7,Sri Lanka,Minimize the impact of climate change on biodiversity and build resilience,Draft NBT 8,0,Sri Lanka,Adopt renewable energy for livestock applications,NDC 6 - Agriculture (mitigation),Alignment opportunities
8,Sri Lanka,Ensure management and use of wild species sustainably and legally to benefit people,Draft NBT 9,0,Sri Lanka,Adopt renewable energy for livestock applications,NDC 6 - Agriculture (mitigation),Alignment opportunities
9,Sri Lanka,"Ensure sustainability and conserve biodiversity during agriculture, aquaculture, fisheries, mining, nature-based tourism and forestry",Draft NBT 10,0,Sri Lanka,Adopt renewable energy for livestock applications,NDC 6 - Agriculture (mitigation),No alignment
