index,Country,Target Text,Target Name,Document,Doc,Convention,Source,Target Textt,index,Theme,Text,Textt,generated_sample
0,Namibia,"By 2020, at least 75% of surveyed key target groups know the meaning of MET biodiversity and can identify important reasons for biodiversity conservation",Target  1,NBSAP 2,NBSAP,Nature,https://www.cbd.int/doc/world/na/na-nbsap-v2-en.pdf,"By 2020, at least 75% of surveyed key target groups know the meaning of Ministry of Environment and Tourism biodiversity and can identify important reasons for biodiversity conservation",0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.","Protection, management, and restoration of marine and coastal zones  This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.",0
1,Namibia,"By 2018, biodiversity values and prioritized ecosystem services are quantified, MET monitored and mainstreamed to support national and sectoral policy-making, planning, budgeting and decision-making frameworks",Target  2,NBSAP 2,NBSAP,Nature,https://www.cbd.int/doc/world/na/na-nbsap-v2-en.pdf,"By 2018, biodiversity values and prioritized ecosystem services are quantified, Ministry of Environment and Tourism monitored and mainstreamed to support national and sectoral policy-making, planning, budgeting and decision-making frameworks",0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.","Protection, management, and restoration of marine and coastal zones  This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.","1 - Protection, management, and restoration of marine and coastal zones"
2,Namibia,"By 2018, selected incentives for biodiversity conservation and sustainable use MET and MoF are in place and applied, and the most harmful subsidies are identified and their phase out is initiated",Target 3,NBSAP 2,NBSAP,Nature,https://www.cbd.int/doc/world/na/na-nbsap-v2-en.pdf,"By 2018, selected incentives for biodiversity conservation and sustainable use Ministry of Environment and Tourism and Ministry of Finance are in place and applied, and the most harmful subsidies are identified and their phase out is initiated",0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.","Protection, management, and restoration of marine and coastal zones  This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.",0
3,Namibia,"By 2022, the rate of loss and degradation of natural habitats outside protected MLR / MET areas serving as ecological corridors or containing key biodiversity areas or providing important ecosystem services is minimized through integrated land use planning ",Target 4,NBSAP 2,NBSAP,Nature,https://www.cbd.int/doc/world/na/na-nbsap-v2-en.pdf,"By 2022, the rate of loss and degradation of natural habitats outside protected Ministry of Lands and Resettlement / Ministry of Environment and Tourism areas serving as ecological corridors or containing key biodiversity areas or providing important ecosystem services is minimized through integrated land use planning ",0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.","Protection, management, and restoration of marine and coastal zones  This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.","1 - Protection, management, and restoration of marine and coastal zones"
4,Namibia,"By 2022, all living marine and aquatic resources are managed sustainably and MFMR guided by the ecosystem approach    ",Target 5,NBSAP 2,NBSAP,Nature,https://www.cbd.int/doc/world/na/na-nbsap-v2-en.pdf,"By 2022, all living marine and aquatic resources are managed sustainably and Ministry of Fisheries and Marine Resources guided by the ecosystem approach    ",0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.","Protection, management, and restoration of marine and coastal zones  This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.","1 - Protection, management, and restoration of marine and coastal zones"
5,Namibia,"By 2022, principles of sound rangeland and sustainable forest management, and MAWF good environmental practices in agriculture are applied on at least 50 per cent of all relevant areas",Target 6,NBSAP 2,NBSAP,Nature,https://www.cbd.int/doc/world/na/na-nbsap-v2-en.pdf,"By 2022, principles of sound rangeland and sustainable forest management, and Ministry of Agriculture, Water and Forestry good environmental practices in agriculture are applied on at least 50 per cent of all relevant areas",0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.","Protection, management, and restoration of marine and coastal zones  This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.",0
6,Namibia,"By 2022, pollution, including from excess nutrients, has been brought to levels MET / MAWF that are not detrimental to biodiversity and ecosystem health and functioning",Target 7,NBSAP 2,NBSAP,Nature,https://www.cbd.int/doc/world/na/na-nbsap-v2-en.pdf,"By 2022, pollution, including from excess nutrients, has been brought to levels Ministry of Environment and Tourism / Ministry of Agriculture, Water and Forestry that are not detrimental to biodiversity and ecosystem health and functioning",0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.","Protection, management, and restoration of marine and coastal zones  This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.","1 - Protection, management, and restoration of marine and coastal zones"
7,Namibia,"By 2015, national review of invasive alien species in Namibia from 2004 is MET updated (including identification of pathways), and by 2018, priority measures are in place to control and manage their impact",Target 8,NBSAP 2,NBSAP,Nature,https://www.cbd.int/doc/world/na/na-nbsap-v2-en.pdf,"By 2015, national review of invasive alien species in the country from 2004 is Ministry of Environment and Tourism updated (including identification of pathways), and by 2018, priority measures are in place to control and manage their impact",0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.","Protection, management, and restoration of marine and coastal zones  This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.",0
8,Namibia,"By 2016, ecosystems most vulnerable to climate change and their anthropogenic MET / MAWF pressures are identified, and by 2018, appropriate adaptation measures are developed and implemented in priority areas",Target 9,NBSAP 2,NBSAP,Nature,https://www.cbd.int/doc/world/na/na-nbsap-v2-en.pdf,"By 2016, ecosystems most vulnerable to climate change and their anthropogenic Ministry of Environment and Tourism / Ministry of Agriculture, Water and Forestry pressures are identified, and by 2018, appropriate adaptation measures are developed and implemented in priority areas",0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.","Protection, management, and restoration of marine and coastal zones  This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.",0
9,Namibia,"By 2018, existing terrestrial protected areas (national parks) are conserved, MET / MFMR effectively and equitably managed, within an ecologically representative and well-connected system, and by 2020, coastal and marine areas, of particular importance to biodiversity and ecosystem services, are identified and measures for their protection initiated",Target 10,NBSAP 2,NBSAP,Nature,https://www.cbd.int/doc/world/na/na-nbsap-v2-en.pdf,"By 2018, existing terrestrial protected areas (national parks) are conserved, Ministry of Environment and Tourism / Ministry of Fisheries and Marine Resources effectively and equitably managed, within an ecologically representative and well-connected system, and by 2020, coastal and marine areas, of particular importance to biodiversity and ecosystem services, are identified and measures for their protection initiated",0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.","Protection, management, and restoration of marine and coastal zones  This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.",1 - Protection and management of marine and coastal zones
