index,Country,Target Text,Target Name,Document,Source,Convention,Target Textt,index,Themes,Texts,Area,Textt,generated_sample
0,Sri Lanka,Halt the conversion of forests and wetlands to other land cover classes,LDN Target 1,Land Degradation Neutrality Targets for Sri Lanka,https://www.unccd.int/sites/default/files/ldn_targets/Sri%20Lanka%20LDN%20Country%20Commitments.pdf,Land degradation,Halt the conversion of forests and wetlands to other land cover classes,0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",0
1,Sri Lanka,Restore and improve degraded forest (80% in the dry zone and 20% in the wet zone),LDN Target 2,Land Degradation Neutrality Targets for Sri Lanka,https://www.unccd.int/sites/default/files/ldn_targets/Sri%20Lanka%20LDN%20Country%20Commitments.pdf,Land degradation,Restore and improve degraded forest (80% in the dry zone and 20% in the wet zone),0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",0
2,Sri Lanka,Increase forest cover from 29% to 32%,LDN Target 3,Land Degradation Neutrality Targets for Sri Lanka,https://www.unccd.int/sites/default/files/ldn_targets/Sri%20Lanka%20LDN%20Country%20Commitments.pdf,Land degradation,Increase forest cover from 29% to 32%,0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",0
3,Sri Lanka,Reduce rate of soil degradation to improve land productivity and Soil Organic Carbon (SOC) stocks,LDN Target 4,Land Degradation Neutrality Targets for Sri Lanka,https://www.unccd.int/sites/default/files/ldn_targets/Sri%20Lanka%20LDN%20Country%20Commitments.pdf,Land degradation,Reduce rate of soil degradation to improve land productivity and Soil Organic Carbon (SOC) stocks,0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",0
4,Sri Lanka,Reduce soil erosion of lands cultivated with annual and plantation crops,LDN Target 5,Land Degradation Neutrality Targets for Sri Lanka,https://www.unccd.int/sites/default/files/ldn_targets/Sri%20Lanka%20LDN%20Country%20Commitments.pdf,Land degradation,Reduce soil erosion of lands cultivated with annual and plantation crops,0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",0
5,Sri Lanka,"Ensure all inland, coastal, and marine areas are under participatory, integrated biodiversity-inclusive spatial planning at all levels; using appropriate tools and regulatory processes; to minimize biodiversity loss in areas of particular importance by 2030, while supporting sustainable use and respecting customary and traditional practices. ",NBT 1,Draft NBTs,,Nature,"Ensure all inland, coastal, and marine areas are under participatory, integrated biodiversity-inclusive spatial planning at all levels; using appropriate tools and regulatory processes; to minimize biodiversity loss in areas of particular importance by 2030, while supporting sustainable use and respecting customary and traditional practices. ",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",1
6,Sri Lanka,"Ensure that by 2030 at least 30% of degraded terrestrial, inland waters, coastal, and marine ecosystems are identified and under appropriate restoration initiatives including enhanced connectivity and buffering, using relevant methods, recovery plans, monitoring, adequate resources, and inter-agency cooperation, to enhance biodiversity and ecosystem functions and services, ecological integrity, and connectivity",NBT 2,Draft NBTs,,Nature,"Ensure that by 2030 at least 30% of degraded terrestrial, inland waters, coastal, and marine ecosystems are identified and under appropriate restoration initiatives including enhanced connectivity and buffering, using relevant methods, recovery plans, monitoring, adequate resources, and inter-agency cooperation, to enhance biodiversity and ecosystem functions and services, ecological integrity, and connectivity",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",1
7,Sri Lanka,"By 2030, ensure and enable 30% of key terrestrial, wetland, and coastal and marine areas of particular biodiversity importance are conserved through ecologically representative, connected, and equitably governed Protected Areas and OECMs that are integrated into wider landscapes and seascapes, using management plans and inter_x0002_agency cooperation; respecting traditional knowledge and customary practices of indigenous and local communities, within existing legal frameworks",NBT 3,Draft NBTs,,Nature,"By 2030, ensure and enable 30% of key terrestrial, wetland, and coastal and marine areas of particular biodiversity importance are conserved through ecologically representative, connected, and equitably governed Protected Areas and OECMs that are integrated into wider landscapes and seascapes, using management plans and inter_x0002_agency cooperation; respecting traditional knowledge and customary practices of indigenous and local communities, within existing legal frameworks",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",1
8,Sri Lanka,"By 2030, ensure urgent actions to halt extinction of threatened species, recover and conserve species in all key ecosystems, and preserve genetic diversity; including indigenous and migratory wild species, species listed in CITES, and indigenous crop and livestock species; targeting reduction of threat status for 30% of nationally threatened species, and increasing adaptive potential of species by using appropriate conservation methods, and minimizing human-wildlife conflict",NBT 4,Draft NBTs,,Nature,"By 2030, ensure urgent actions to halt extinction of threatened species, recover and conserve species in all key ecosystems, and preserve genetic diversity; including indigenous and migratory wild species, species listed in Convention on International Trade in Endangered Species of Wild Fauna and Flora, and indigenous crop and livestock species; targeting reduction of threat status for 30% of nationally threatened species, and increasing adaptive potential of species by using appropriate conservation methods, and minimizing human-wildlife conflict",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",0
9,Sri Lanka,"Ensure that by 2030 the use, harvesting, and trade of wild species, is sustainable, safe and legal, preventing over-exploitation and illegal practices, minimizing impacts on non-target species, ecosystems, and risk of pathogen spill over; supported by legal procedures, monitoring, and guidelines, while respecting customary, wise, and sustainable use by indigenous peoples and local communities.",NBT 5,Draft NBTs,,Nature,"Ensure that by 2030 the use, harvesting, and trade of wild species, is sustainable, safe and legal, preventing over-exploitation and illegal practices, minimizing impacts on non-target species, ecosystems, and risk of pathogen spill over; supported by legal procedures, monitoring, and guidelines, while respecting customary, wise, and sustainable use by indigenous peoples and local communities.",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",0
