index,Country,Target Text,Target Name,index,Theme,Text,generated_sample
0,Sri Lanka,Ensure biodiversity inclusive spatial planning and management to prevent biodiversity loss,Draft NBT 1,0,"Protection, management, and restoration of marine and coastal zones ","Protection, management, and restoration of marine and coastal zones  This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ","1 - Protection, management, and restoration of marine and coastal zones"
1,Sri Lanka,Restore 30% of all degraded ecosystems in the island and surrounding sea by 2030,Draft NBT 2,0,"Protection, management, and restoration of marine and coastal zones ","Protection, management, and restoration of marine and coastal zones  This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ","1 - Restore 30% of all degraded ecosystems in the island and surrounding sea by 2030 covers the essential overarching topic of protection, management, and restoration of marine and coastal zones, specifically focusing on the restoration aspect of marine ecosystems."
2,Sri Lanka,"Conserve 30% of the island's land, wetlands, and seas",Draft NBT 3,0,"Protection, management, and restoration of marine and coastal zones ","Protection, management, and restoration of marine and coastal zones  This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ","1 - Protection, management, and restoration of marine and coastal zones"
3,Sri Lanka,"Halt species extinction, protect genetic diversity, and manage human-wildlife conflict",Draft NBT 4,0,"Protection, management, and restoration of marine and coastal zones ","Protection, management, and restoration of marine and coastal zones  This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ",0
4,Sri Lanka,"Ensure sustainable, safe and legal harvesting and trade of wild species",Draft NBT 5,0,"Protection, management, and restoration of marine and coastal zones ","Protection, management, and restoration of marine and coastal zones  This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ",0
5,Sri Lanka,Reduce introduction of Invasive Alien Species (Invasive Alien Species) by 50% and minimize impact,Draft NBT 6,0,"Protection, management, and restoration of marine and coastal zones ","Protection, management, and restoration of marine and coastal zones  This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ",0
6,Sri Lanka,Reduce pollution and manage waste to prevent harm to biodiversity,Draft NBT 7,0,"Protection, management, and restoration of marine and coastal zones ","Protection, management, and restoration of marine and coastal zones  This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ",0
7,Sri Lanka,Minimize the impact of climate change on biodiversity and build resilience,Draft NBT 8,0,"Protection, management, and restoration of marine and coastal zones ","Protection, management, and restoration of marine and coastal zones  This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ","1 - Protection, management, and restoration of marine and coastal zones"
8,Sri Lanka,Ensure management and use of wild species sustainably and legally to benefit people,Draft NBT 9,0,"Protection, management, and restoration of marine and coastal zones ","Protection, management, and restoration of marine and coastal zones  This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ",0
9,Sri Lanka,"Ensure sustainability and conserve biodiversity during agriculture, aquaculture, fisheries, mining, nature-based tourism and forestry",Draft NBT 10,0,"Protection, management, and restoration of marine and coastal zones ","Protection, management, and restoration of marine and coastal zones  This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ","1 - Conservation of biodiversity during aquaculture and fisheries, which relates to the protection and management of marine and coastal zones."
10,Sri Lanka,"Restore, maintain and enhance nature's contributions to people using nature-based solutions",Draft NBT 11,0,"Protection, management, and restoration of marine and coastal zones ","Protection, management, and restoration of marine and coastal zones  This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ","1 - Restore, maintain and enhance nature's contributions to people using nature-based solutions"
11,Sri Lanka,Enhance urban planning with green and blue spaces for human well-being and biodiversity,Draft NBT 12,0,"Protection, management, and restoration of marine and coastal zones ","Protection, management, and restoration of marine and coastal zones  This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ",0
12,Sri Lanka,"Enable benefit sharing from genetic resources, related digital sequence information, and traditional knowledge",Draft NBT 13,0,"Protection, management, and restoration of marine and coastal zones ","Protection, management, and restoration of marine and coastal zones  This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ",0
13,Sri Lanka,"Integrate biodiversity consideration into national policies, plans and decision-making",Draft NBT 14,0,"Protection, management, and restoration of marine and coastal zones ","Protection, management, and restoration of marine and coastal zones  This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ","1 - Protection, management, and restoration of marine and coastal zones"
14,Sri Lanka,"Enable businesses to assess, disclose and mitigate risks and negative impacts on biodiversity; while benefitting from and supporting biodiversity",Draft NBT 15,0,"Protection, management, and restoration of marine and coastal zones ","Protection, management, and restoration of marine and coastal zones  This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ","1 - Protection, management, and restoration of marine and coastal zones"
15,Sri Lanka,"Promote sustainable consumption to reduce waste through education, policies, and communication",Draft NBT 16,0,"Protection, management, and restoration of marine and coastal zones ","Protection, management, and restoration of marine and coastal zones  This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ",0
16,Sri Lanka,Strengthen biosafety and distribute the benefits of biotechnology,Draft NBT 17,0,"Protection, management, and restoration of marine and coastal zones ","Protection, management, and restoration of marine and coastal zones  This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ",0
17,Sri Lanka,"Minimize impacts from harmful incentives and abiotic extractions on biodiversity, and scale up positive incentives and alternative solutions",Draft NBT 18,0,"Protection, management, and restoration of marine and coastal zones ","Protection, management, and restoration of marine and coastal zones  This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ",0
18,Sri Lanka,Mobilize adequate funding from all sources to implement the National Biodiversity Strategies and Action Plans and achieve the National Biodiversity Targets by 2030 ,Draft NBT 19,0,"Protection, management, and restoration of marine and coastal zones ","Protection, management, and restoration of marine and coastal zones  This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ",0
19,Sri Lanka,"Enable capacity-building and technology transfer for biodiversity research, conservation, monitoring and cooperation",Draft NBT 20,0,"Protection, management, and restoration of marine and coastal zones ","Protection, management, and restoration of marine and coastal zones  This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ","1 - Enable capacity-building and technology transfer for biodiversity research, conservation, monitoring and cooperation relates to the overarching topic of protection, management, and restoration of marine and coastal zones, as it supports the necessary frameworks for effective marine ecosystem service management and conservation efforts."
20,Sri Lanka,Manage data and ensure access to accurate knowledge and information to guide biodiversity inclusive decision making and action,Draft NBT 21,0,"Protection, management, and restoration of marine and coastal zones ","Protection, management, and restoration of marine and coastal zones  This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ","1 - Protection, management, and restoration of marine and coastal zones"
21,Sri Lanka,Make participation possible for all in decision-making and access to justice and information relating to biodiversity,Draft NBT 22,0,"Protection, management, and restoration of marine and coastal zones ","Protection, management, and restoration of marine and coastal zones  This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ",0
