index,Country,Target Text,Target Name,index,Country,Target Text,Target Name,generated_sample
0,Sri Lanka,Improve and increase of Trees Outside Forests,NDC 4 - Forestry,0,Sri Lanka,"Conserve 30% of the island's land, wetlands, and seas",Draft NBT 3,No alignment
1,Sri Lanka,Management of climate-sensitive areas and restoration of degraded areas inside and outside the protected areas (Protected Areas) network to conserve habitats that are highly vulnerable to climate change,NDC 1 - Biodiversity,0,Sri Lanka,"Conserve 30% of the island's land, wetlands, and seas",Draft NBT 3,Alignment opportunities
2,Sri Lanka,Increase connectivity in the zones that will be subjected to climate-driven changes according to current predictions through landscape approaches,NDC 2 - Biodiversity,0,Sri Lanka,"Conserve 30% of the island's land, wetlands, and seas",Draft NBT 3,Alignment opportunities
3,Sri Lanka,Expansion of Protected Area (Protected Areas) extent to enhance the ability of the Protected Areas network to function as a buffer for climate change,NDC 3 - Biodiversity,0,Sri Lanka,"Conserve 30% of the island's land, wetlands, and seas",Draft NBT 3,Alignment opportunities
4,Sri Lanka,Strengthen ex-situ conservation programmes covering climate-vulnerable taxa and regions,NDC 4 - Biodiversity,0,Sri Lanka,"Conserve 30% of the island's land, wetlands, and seas",Draft NBT 3,Alignment opportunities
5,Sri Lanka,Identify and declare coastal and marine natural areas of high priority for building resilience for climate change impacts,NDC 4 - Coastal & Marine,0,Sri Lanka,"Conserve 30% of the island's land, wetlands, and seas",Draft NBT 3,Alignment opportunities
0,Sri Lanka,Improve and increase of Trees Outside Forests,NDC 4 - Forestry,1,Sri Lanka,"Enable capacity-building and technology transfer for biodiversity research, conservation, monitoring and cooperation",Draft NBT 20,Alignment opportunities
1,Sri Lanka,Management of climate-sensitive areas and restoration of degraded areas inside and outside the protected areas (Protected Areas) network to conserve habitats that are highly vulnerable to climate change,NDC 1 - Biodiversity,1,Sri Lanka,"Enable capacity-building and technology transfer for biodiversity research, conservation, monitoring and cooperation",Draft NBT 20,Alignment opportunities
2,Sri Lanka,Increase connectivity in the zones that will be subjected to climate-driven changes according to current predictions through landscape approaches,NDC 2 - Biodiversity,1,Sri Lanka,"Enable capacity-building and technology transfer for biodiversity research, conservation, monitoring and cooperation",Draft NBT 20,Alignment opportunities
3,Sri Lanka,Expansion of Protected Area (Protected Areas) extent to enhance the ability of the Protected Areas network to function as a buffer for climate change,NDC 3 - Biodiversity,1,Sri Lanka,"Enable capacity-building and technology transfer for biodiversity research, conservation, monitoring and cooperation",Draft NBT 20,Alignment opportunities
4,Sri Lanka,Strengthen ex-situ conservation programmes covering climate-vulnerable taxa and regions,NDC 4 - Biodiversity,1,Sri Lanka,"Enable capacity-building and technology transfer for biodiversity research, conservation, monitoring and cooperation",Draft NBT 20,Alignment opportunities
5,Sri Lanka,Identify and declare coastal and marine natural areas of high priority for building resilience for climate change impacts,NDC 4 - Coastal & Marine,1,Sri Lanka,"Enable capacity-building and technology transfer for biodiversity research, conservation, monitoring and cooperation",Draft NBT 20,Alignment opportunities
0,Sri Lanka,Improve and increase of Trees Outside Forests,NDC 4 - Forestry,2,Sri Lanka,"Build capacity for conservation of biodiversity at all its levels, and for sustainable use of bioresources to benefit people",Draft NBT 24,Alignment opportunities
1,Sri Lanka,Management of climate-sensitive areas and restoration of degraded areas inside and outside the protected areas (Protected Areas) network to conserve habitats that are highly vulnerable to climate change,NDC 1 - Biodiversity,2,Sri Lanka,"Build capacity for conservation of biodiversity at all its levels, and for sustainable use of bioresources to benefit people",Draft NBT 24,Alignment opportunities
2,Sri Lanka,Increase connectivity in the zones that will be subjected to climate-driven changes according to current predictions through landscape approaches,NDC 2 - Biodiversity,2,Sri Lanka,"Build capacity for conservation of biodiversity at all its levels, and for sustainable use of bioresources to benefit people",Draft NBT 24,Alignment opportunities
3,Sri Lanka,Expansion of Protected Area (Protected Areas) extent to enhance the ability of the Protected Areas network to function as a buffer for climate change,NDC 3 - Biodiversity,2,Sri Lanka,"Build capacity for conservation of biodiversity at all its levels, and for sustainable use of bioresources to benefit people",Draft NBT 24,Alignment opportunities
4,Sri Lanka,Strengthen ex-situ conservation programmes covering climate-vulnerable taxa and regions,NDC 4 - Biodiversity,2,Sri Lanka,"Build capacity for conservation of biodiversity at all its levels, and for sustainable use of bioresources to benefit people",Draft NBT 24,Alignment opportunities
5,Sri Lanka,Identify and declare coastal and marine natural areas of high priority for building resilience for climate change impacts,NDC 4 - Coastal & Marine,2,Sri Lanka,"Build capacity for conservation of biodiversity at all its levels, and for sustainable use of bioresources to benefit people",Draft NBT 24,Alignment opportunities
