index,Country,Target Text,Target Name,index,Country,Target Text,Target Name,generated_sample
0,Sri Lanka,Restore 30% of all degraded ecosystems in the island and surrounding sea by 2030,Draft NBT 2,0,Sri Lanka,Reduce Greenhouse Gas emissions from the marine sector,NDC 12 - Transport,Alignment opportunities
1,Sri Lanka,"Conserve 30% of the island's land, wetlands, and seas",Draft NBT 3,0,Sri Lanka,Reduce Greenhouse Gas emissions from the marine sector,NDC 12 - Transport,No alignment
0,Sri Lanka,Restore 30% of all degraded ecosystems in the island and surrounding sea by 2030,Draft NBT 2,1,Sri Lanka,Enhance sustainable land and water management pratices in areas where anticipated climate vulnerability is severe,NDC 5 - Agriculture (adaptation),Alignment opportunities
1,Sri Lanka,"Conserve 30% of the island's land, wetlands, and seas",Draft NBT 3,1,Sri Lanka,Enhance sustainable land and water management pratices in areas where anticipated climate vulnerability is severe,NDC 5 - Agriculture (adaptation),Alignment opportunities
0,Sri Lanka,Restore 30% of all degraded ecosystems in the island and surrounding sea by 2030,Draft NBT 2,2,Sri Lanka,Conduct fisheries and aquatic resources research to build resilience to climate change,NDC 7 - Fisheries,Alignment opportunities
1,Sri Lanka,"Conserve 30% of the island's land, wetlands, and seas",Draft NBT 3,2,Sri Lanka,Conduct fisheries and aquatic resources research to build resilience to climate change,NDC 7 - Fisheries,Alignment opportunities
0,Sri Lanka,Restore 30% of all degraded ecosystems in the island and surrounding sea by 2030,Draft NBT 2,3,Sri Lanka,Establish an accurate sea level rise forecasting system for the country,NDC 1 - Coastal & Marine,No alignment
1,Sri Lanka,"Conserve 30% of the island's land, wetlands, and seas",Draft NBT 3,3,Sri Lanka,Establish an accurate sea level rise forecasting system for the country,NDC 1 - Coastal & Marine,No alignment
0,Sri Lanka,Restore 30% of all degraded ecosystems in the island and surrounding sea by 2030,Draft NBT 2,4,Sri Lanka,Prepare updated vulnerability and risk maps for the coastal belt of the country ,NDC 2 - Coastal & Marine,No alignment
1,Sri Lanka,"Conserve 30% of the island's land, wetlands, and seas",Draft NBT 3,4,Sri Lanka,Prepare updated vulnerability and risk maps for the coastal belt of the country ,NDC 2 - Coastal & Marine,No alignment
0,Sri Lanka,Restore 30% of all degraded ecosystems in the island and surrounding sea by 2030,Draft NBT 2,5,Sri Lanka,Adopt optimal shoreline management works/measures covering affected length of shoreline using a combination of hard & soft solutions to prevent coastal erosion in areas most vulnerable to Sea Level Rise,NDC 3 - Coastal & Marine,Alignment opportunities
1,Sri Lanka,"Conserve 30% of the island's land, wetlands, and seas",Draft NBT 3,5,Sri Lanka,Adopt optimal shoreline management works/measures covering affected length of shoreline using a combination of hard & soft solutions to prevent coastal erosion in areas most vulnerable to Sea Level Rise,NDC 3 - Coastal & Marine,Alignment opportunities
0,Sri Lanka,Restore 30% of all degraded ecosystems in the island and surrounding sea by 2030,Draft NBT 2,6,Sri Lanka,Identify and declare coastal and marine natural areas of high priority for building resilience for climate change impacts,NDC 4 - Coastal & Marine,Alignment opportunities
1,Sri Lanka,"Conserve 30% of the island's land, wetlands, and seas",Draft NBT 3,6,Sri Lanka,Identify and declare coastal and marine natural areas of high priority for building resilience for climate change impacts,NDC 4 - Coastal & Marine,Alignment opportunities
