index,Country,Target Text,Target Name,index,Country,Target Text,Target Name,generated_sample
0,Sri Lanka,Reduce rate of soil degradation to improve land productivity and Soil Organic Carbon (SOC) stocks,Target 4,0,Sri Lanka,"Continue fuel-switching to sustainable biomass energy and improve user efficiency in selected industrial sub-sectors (tea, rubber, apparel, hotel & tourism, rice processing)",NDC 1 - Industry,Alignment opportunities
1,Sri Lanka,Reduce soil erosion of lands cultivated with annual and plantation crops,Target 5,0,Sri Lanka,"Continue fuel-switching to sustainable biomass energy and improve user efficiency in selected industrial sub-sectors (tea, rubber, apparel, hotel & tourism, rice processing)",NDC 1 - Industry,No alignment
0,Sri Lanka,Reduce rate of soil degradation to improve land productivity and Soil Organic Carbon (SOC) stocks,Target 4,1,Sri Lanka,Reduce post-harvest losses and value addition of fruits and vegetables,NDC 1 - Agriculture (mitigation),No alignment
1,Sri Lanka,Reduce soil erosion of lands cultivated with annual and plantation crops,Target 5,1,Sri Lanka,Reduce post-harvest losses and value addition of fruits and vegetables,NDC 1 - Agriculture (mitigation),No alignment
0,Sri Lanka,Reduce rate of soil degradation to improve land productivity and Soil Organic Carbon (SOC) stocks,Target 4,2,Sri Lanka,Increase crop productivity,NDC 2 - Agriculture (mitigation),Alignment opportunities
1,Sri Lanka,Reduce soil erosion of lands cultivated with annual and plantation crops,Target 5,2,Sri Lanka,Increase crop productivity,NDC 2 - Agriculture (mitigation),Alignment opportunities
0,Sri Lanka,Reduce rate of soil degradation to improve land productivity and Soil Organic Carbon (SOC) stocks,Target 4,3,Sri Lanka,Improve adoption of renewable energy for crop farming/value addition,NDC 3 - Agriculture (mitigation),Alignment opportunities
1,Sri Lanka,Reduce soil erosion of lands cultivated with annual and plantation crops,Target 5,3,Sri Lanka,Improve adoption of renewable energy for crop farming/value addition,NDC 3 - Agriculture (mitigation),Alignment opportunities
0,Sri Lanka,Reduce rate of soil degradation to improve land productivity and Soil Organic Carbon (SOC) stocks,Target 4,4,Sri Lanka,"Improve dairy sector productivity by managing herd, herd health, feed and by improving animal comfort and welfare (40% increase of milk yield per cattle by 2030 on unconditional basis and further increase up to 55% on conditional basis. Increase productive milking cow percentage of the herd up to 40% on conditional basis)",NDC 4 - Agriculture (mitigation),No alignment
1,Sri Lanka,Reduce soil erosion of lands cultivated with annual and plantation crops,Target 5,4,Sri Lanka,"Improve dairy sector productivity by managing herd, herd health, feed and by improving animal comfort and welfare (40% increase of milk yield per cattle by 2030 on unconditional basis and further increase up to 55% on conditional basis. Increase productive milking cow percentage of the herd up to 40% on conditional basis)",NDC 4 - Agriculture (mitigation),No alignment
0,Sri Lanka,Reduce rate of soil degradation to improve land productivity and Soil Organic Carbon (SOC) stocks,Target 4,5,Sri Lanka,"Improve productivity of Monogastrics by improving genetic, feed efficiency, animal health, comfort and welfare",NDC 5 - Agriculture (mitigation),No alignment
1,Sri Lanka,Reduce soil erosion of lands cultivated with annual and plantation crops,Target 5,5,Sri Lanka,"Improve productivity of Monogastrics by improving genetic, feed efficiency, animal health, comfort and welfare",NDC 5 - Agriculture (mitigation),No alignment
