index,Country,Target Text,Target Name,index,Country,Target Text,Target Name,generated_sample
0,Sri Lanka,Ensure management and use of wild species sustainably and legally to benefit people,Draft NBT 9,0,Sri Lanka,"Continue fuel-switching to sustainable biomass energy and improve user efficiency in selected industrial sub-sectors (tea, rubber, apparel, hotel & tourism, rice processing)",NDC 1 - Industry,Alignment opportunities
1,Sri Lanka,"Ensure sustainability and conserve biodiversity during agriculture, aquaculture, fisheries, mining, nature-based tourism and forestry",Draft NBT 10,0,Sri Lanka,"Continue fuel-switching to sustainable biomass energy and improve user efficiency in selected industrial sub-sectors (tea, rubber, apparel, hotel & tourism, rice processing)",NDC 1 - Industry,Alignment opportunities
2,Sri Lanka,"Build capacity for conservation of biodiversity at all its levels, and for sustainable use of bioresources to benefit people",Draft NBT 24,0,Sri Lanka,"Continue fuel-switching to sustainable biomass energy and improve user efficiency in selected industrial sub-sectors (tea, rubber, apparel, hotel & tourism, rice processing)",NDC 1 - Industry,Alignment opportunities
0,Sri Lanka,Ensure management and use of wild species sustainably and legally to benefit people,Draft NBT 9,1,Sri Lanka,Reduce post-harvest losses and value addition of fruits and vegetables,NDC 1 - Agriculture (mitigation),No alignment
1,Sri Lanka,"Ensure sustainability and conserve biodiversity during agriculture, aquaculture, fisheries, mining, nature-based tourism and forestry",Draft NBT 10,1,Sri Lanka,Reduce post-harvest losses and value addition of fruits and vegetables,NDC 1 - Agriculture (mitigation),No alignment
2,Sri Lanka,"Build capacity for conservation of biodiversity at all its levels, and for sustainable use of bioresources to benefit people",Draft NBT 24,1,Sri Lanka,Reduce post-harvest losses and value addition of fruits and vegetables,NDC 1 - Agriculture (mitigation),No alignment
0,Sri Lanka,Ensure management and use of wild species sustainably and legally to benefit people,Draft NBT 9,2,Sri Lanka,Increase crop productivity,NDC 2 - Agriculture (mitigation),No alignment
1,Sri Lanka,"Ensure sustainability and conserve biodiversity during agriculture, aquaculture, fisheries, mining, nature-based tourism and forestry",Draft NBT 10,2,Sri Lanka,Increase crop productivity,NDC 2 - Agriculture (mitigation),No alignment
2,Sri Lanka,"Build capacity for conservation of biodiversity at all its levels, and for sustainable use of bioresources to benefit people",Draft NBT 24,2,Sri Lanka,Increase crop productivity,NDC 2 - Agriculture (mitigation),No alignment
0,Sri Lanka,Ensure management and use of wild species sustainably and legally to benefit people,Draft NBT 9,3,Sri Lanka,Improve adoption of renewable energy for crop farming/value addition,NDC 3 - Agriculture (mitigation),Alignment opportunities
1,Sri Lanka,"Ensure sustainability and conserve biodiversity during agriculture, aquaculture, fisheries, mining, nature-based tourism and forestry",Draft NBT 10,3,Sri Lanka,Improve adoption of renewable energy for crop farming/value addition,NDC 3 - Agriculture (mitigation),Alignment opportunities
2,Sri Lanka,"Build capacity for conservation of biodiversity at all its levels, and for sustainable use of bioresources to benefit people",Draft NBT 24,3,Sri Lanka,Improve adoption of renewable energy for crop farming/value addition,NDC 3 - Agriculture (mitigation),Alignment opportunities
0,Sri Lanka,Ensure management and use of wild species sustainably and legally to benefit people,Draft NBT 9,4,Sri Lanka,"Improve dairy sector productivity by managing herd, herd health, feed and by improving animal comfort and welfare (40% increase of milk yield per cattle by 2030 on unconditional basis and further increase up to 55% on conditional basis. Increase productive milking cow percentage of the herd up to 40% on conditional basis)",NDC 4 - Agriculture (mitigation),No alignment
1,Sri Lanka,"Ensure sustainability and conserve biodiversity during agriculture, aquaculture, fisheries, mining, nature-based tourism and forestry",Draft NBT 10,4,Sri Lanka,"Improve dairy sector productivity by managing herd, herd health, feed and by improving animal comfort and welfare (40% increase of milk yield per cattle by 2030 on unconditional basis and further increase up to 55% on conditional basis. Increase productive milking cow percentage of the herd up to 40% on conditional basis)",NDC 4 - Agriculture (mitigation),No alignment
2,Sri Lanka,"Build capacity for conservation of biodiversity at all its levels, and for sustainable use of bioresources to benefit people",Draft NBT 24,4,Sri Lanka,"Improve dairy sector productivity by managing herd, herd health, feed and by improving animal comfort and welfare (40% increase of milk yield per cattle by 2030 on unconditional basis and further increase up to 55% on conditional basis. Increase productive milking cow percentage of the herd up to 40% on conditional basis)",NDC 4 - Agriculture (mitigation),No alignment
0,Sri Lanka,Ensure management and use of wild species sustainably and legally to benefit people,Draft NBT 9,5,Sri Lanka,"Improve productivity of Monogastrics by improving genetic, feed efficiency, animal health, comfort and welfare",NDC 5 - Agriculture (mitigation),No alignment
1,Sri Lanka,"Ensure sustainability and conserve biodiversity during agriculture, aquaculture, fisheries, mining, nature-based tourism and forestry",Draft NBT 10,5,Sri Lanka,"Improve productivity of Monogastrics by improving genetic, feed efficiency, animal health, comfort and welfare",NDC 5 - Agriculture (mitigation),No alignment
2,Sri Lanka,"Build capacity for conservation of biodiversity at all its levels, and for sustainable use of bioresources to benefit people",Draft NBT 24,5,Sri Lanka,"Improve productivity of Monogastrics by improving genetic, feed efficiency, animal health, comfort and welfare",NDC 5 - Agriculture (mitigation),No alignment
