index,Country,Target Text,Target Name,index,Country,Target Text,Target Name,generated_sample
0,Sri Lanka,Increase forest cover of the country up to 32% by 2030,NDC 1 - Forestry,0,Sri Lanka,Halt the conversion of forests and wetlands to other land cover classes,Target 1,Alignment opportunities
1,Sri Lanka,Improve the quality of growing stock of natural forests and plantations,NDC 2 - Forestry,0,Sri Lanka,Halt the conversion of forests and wetlands to other land cover classes,Target 1,Alignment opportunities
2,Sri Lanka,Strengthen catchment protection of major rivers and cascade systems,NDC 3 - Forestry,0,Sri Lanka,Halt the conversion of forests and wetlands to other land cover classes,Target 1,Alignment opportunities
3,Sri Lanka,Improve and increase of Trees Outside Forests,NDC 4 - Forestry,0,Sri Lanka,Halt the conversion of forests and wetlands to other land cover classes,Target 1,Alignment opportunities
4,Sri Lanka,Generic enabling activities,NDC 5 - Forestry,0,Sri Lanka,Halt the conversion of forests and wetlands to other land cover classes,Target 1,No alignment
5,Sri Lanka,Enhance sustainable land and water management pratices in areas where anticipated climate vulnerability is severe,NDC 5 - Agriculture (adaptation),0,Sri Lanka,Halt the conversion of forests and wetlands to other land cover classes,Target 1,Alignment opportunities
0,Sri Lanka,Increase forest cover of the country up to 32% by 2030,NDC 1 - Forestry,1,Sri Lanka,Restore and improve degraded forest (80% in the dry zone and 20% in the wet zone),Target 2,Alignment opportunities
1,Sri Lanka,Improve the quality of growing stock of natural forests and plantations,NDC 2 - Forestry,1,Sri Lanka,Restore and improve degraded forest (80% in the dry zone and 20% in the wet zone),Target 2,Alignment opportunities
2,Sri Lanka,Strengthen catchment protection of major rivers and cascade systems,NDC 3 - Forestry,1,Sri Lanka,Restore and improve degraded forest (80% in the dry zone and 20% in the wet zone),Target 2,Alignment opportunities
3,Sri Lanka,Improve and increase of Trees Outside Forests,NDC 4 - Forestry,1,Sri Lanka,Restore and improve degraded forest (80% in the dry zone and 20% in the wet zone),Target 2,Alignment opportunities
4,Sri Lanka,Generic enabling activities,NDC 5 - Forestry,1,Sri Lanka,Restore and improve degraded forest (80% in the dry zone and 20% in the wet zone),Target 2,No alignment
5,Sri Lanka,Enhance sustainable land and water management pratices in areas where anticipated climate vulnerability is severe,NDC 5 - Agriculture (adaptation),1,Sri Lanka,Restore and improve degraded forest (80% in the dry zone and 20% in the wet zone),Target 2,Alignment opportunities
0,Sri Lanka,Increase forest cover of the country up to 32% by 2030,NDC 1 - Forestry,2,Sri Lanka,Increase forest cover from29% to 32%,Target 3,Aligned
1,Sri Lanka,Improve the quality of growing stock of natural forests and plantations,NDC 2 - Forestry,2,Sri Lanka,Increase forest cover from29% to 32%,Target 3,Alignment opportunities
2,Sri Lanka,Strengthen catchment protection of major rivers and cascade systems,NDC 3 - Forestry,2,Sri Lanka,Increase forest cover from29% to 32%,Target 3,Alignment opportunities
3,Sri Lanka,Improve and increase of Trees Outside Forests,NDC 4 - Forestry,2,Sri Lanka,Increase forest cover from29% to 32%,Target 3,Alignment opportunities
4,Sri Lanka,Generic enabling activities,NDC 5 - Forestry,2,Sri Lanka,Increase forest cover from29% to 32%,Target 3,No alignment
5,Sri Lanka,Enhance sustainable land and water management pratices in areas where anticipated climate vulnerability is severe,NDC 5 - Agriculture (adaptation),2,Sri Lanka,Increase forest cover from29% to 32%,Target 3,Alignment opportunities
