index,Country,Target Text,Target Name,Document,Doc,Type,Convention,Source,Target Textt,index,Themes,Texts,Textt,generated_sample
0,Tanzania,Integrate climate change adaptation into ≥ 60% of national/sector plans and local government budgets by 2026,Objective 1 (Adaptation),National Climate Change Response Strategy (2021-2026),NCCRS,Other targets,Climate,https://www.vpo.go.tz,Integrate climate change adaptation into ≥ 60% of national/sector plans and local government budgets by 2026,0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.","Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.",0
1,Tanzania,Demarcate and protect 60% of major water sources in all 9 basins to strengthen water resilience,Objective 2 (Adaptation),National Climate Change Response Strategy (2021-2026),NCCRS,Other targets,Climate,https://www.vpo.go.tz,Demarcate and protect 60% of major water sources in all 9 basins to strengthen water resilience,0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.","Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.",0
2,Tanzania,Construct or upgrade flood-control systems in at least 50% of water basins,Objective 3 (Adaptation),National Climate Change Response Strategy (2021-2026),NCCRS,Other targets,Climate,https://www.vpo.go.tz,Construct or upgrade flood-control systems in at least 50% of water basins,0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.","Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.",0
3,Tanzania,"Ensure that ≥ 50% of agricultural land under climate-smart practices (irrigation, drought-resilient seeds, crop diversification)",Objective 4 (Adaptation),National Climate Change Response Strategy (2021-2026),NCCRS,Other targets,Climate,https://www.vpo.go.tz,"Ensure that ≥ 50% of agricultural land under climate-smart practices (irrigation, drought-resilient seeds, crop diversification)",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.","Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.",0
4,Tanzania,"Reduce post-harvest losses of crops (e.g., fruits, vegetables) by 40% through improved storage and value addition",Objective 5 (Adaptation),National Climate Change Response Strategy (2021-2026),NCCRS,Other targets,Climate,https://www.vpo.go.tz,"Reduce post-harvest losses of crops (e.g., fruits, vegetables) by 40% through improved storage and value addition",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.","Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.",0
5,Tanzania,Promote livestock resilience by adopting improved rangeland management in ≥ 40% of pastoral communities,Objective 6 (Adaptation),National Climate Change Response Strategy (2021-2026),NCCRS,Other targets,Climate,https://www.vpo.go.tz,Promote livestock resilience by adopting improved rangeland management in ≥ 40% of pastoral communities,0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.","Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.",0
6,Tanzania,"Rehabilitate or sustainably manage ≥ 50% of degraded coastal zones (mangroves, reefs)",Objective 7 (Adaptation),National Climate Change Response Strategy (2021-2026),NCCRS,Other targets,Climate,https://www.vpo.go.tz,"Rehabilitate or sustainably manage ≥ 50% of degraded coastal zones (mangroves, reefs)",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.","Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.",1
7,Tanzania,"Conduct climate-proofing for all major new infrastructure projects (roads, rail, power lines)",Objective 8 (Adaptation),National Climate Change Response Strategy (2021-2026),NCCRS,Other targets,Climate,https://www.vpo.go.tz,"Conduct climate-proofing for all major new infrastructure projects (roads, rail, power lines)",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.","Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.",0
8,Tanzania,"Equip 70% of health facilities with climate-resilient water and power systems, expanding disease surveillance to all regions",Objective 9 (Adaptation),National Climate Change Response Strategy (2021-2026),NCCRS,Other targets,Climate,https://www.vpo.go.tz,"Equip 70% of health facilities with climate-resilient water and power systems, expanding disease surveillance to all regions",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.","Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.",0
9,Tanzania,"Develop or update district-level DRR plans in ≥ 30 high-risk districts, strengthening early warning systems",Objective 10 (Adaptation),National Climate Change Response Strategy (2021-2026),NCCRS,Other targets,Climate,https://www.vpo.go.tz,"Develop or update district-level Disaster Risk Reduction plans in ≥ 30 high-risk districts, strengthening early warning systems",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.","Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.",0
