index,Country,Target Text,Target Name,Document,Doc,Convention,Source,Target Textt,index,Themes,Texts,Textt,generated_sample
0,Zanzibar,"Enhance capacity and coordination on climate change governance (e.g., institutional strengthening, training, awareness).",Objective 1 (Cross-cutting),Zanzibar Climate Change Strategy (2012-2030),CCS,Climate,http://www.omkr.go.tz,"Enhance capacity and coordination on climate change governance (e.g., institutional strengthening, training, awareness).",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.","Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.",0
1,Zanzibar,"Improve meteorological data, climate information, and research (e.g., install new stations, strengthen TMA-Zanzibar).",Objective 2 (Cross-cutting),Zanzibar Climate Change Strategy (2012-2030),CCS,Climate,http://www.omkr.go.tz,"Improve meteorological data, climate information, and research (e.g., install new stations, strengthen TMA-the country).",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.","Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.",0
2,Zanzibar,"Strengthen disaster risk management and early warning systems for climate extremes, including community-level outreach.",Objective 3 (Adaptation),Zanzibar Climate Change Strategy (2012-2030),CCS,Climate,http://www.omkr.go.tz,"Strengthen disaster risk management and early warning systems for climate extremes, including community-level outreach.",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.","Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.",0
3,Zanzibar,"Undertake risk & vulnerability mapping for land-use planning, focusing on flood-prone and coastal hazard areas.",Objective 4 (Adaptation),Zanzibar Climate Change Strategy (2012-2030),CCS,Climate,http://www.omkr.go.tz,"Undertake risk & vulnerability mapping for land-use planning, focusing on flood-prone and coastal hazard areas.",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.","Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.",0
4,Zanzibar,"Expand integrated coastal zone management, promoting mangrove restoration and shoreline vegetation buffers.",Objective 5 (Adaptation),Zanzibar Climate Change Strategy (2012-2030),CCS,Climate,http://www.omkr.go.tz,"Expand integrated coastal zone management, promoting mangrove restoration and shoreline vegetation buffers.",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.","Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.",1
5,Zanzibar,"Implement climate-smart agriculture (e.g., soil & water conservation, agroforestry, improved seeds, irrigation).",Objective 6 (Adaptation),Zanzibar Climate Change Strategy (2012-2030),CCS,Climate,http://www.omkr.go.tz,"Implement climate-smart agriculture (e.g., soil & water conservation, agroforestry, improved seeds, irrigation).",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.","Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.",0
6,Zanzibar,"Adopt integrated water resources management (e.g., reduce leakages, promote rainwater harvesting, regulate abstraction).",Objective 7 (Adaptation),Zanzibar Climate Change Strategy (2012-2030),CCS,Climate,http://www.omkr.go.tz,"Adopt integrated water resources management (e.g., reduce leakages, promote rainwater harvesting, regulate abstraction).",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.","Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.",0
7,Zanzibar,"Scale up community-based forest management, afforestation, and REDD+ initiatives to reduce deforestation pressures.",Objective 8 (Mitigation),Zanzibar Climate Change Strategy (2012-2030),CCS,Climate,http://www.omkr.go.tz,"Scale up community-based forest management, afforestation, and Reducing Emissions from Deforestation and Forest Degradation+ initiatives to reduce deforestation pressures.",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.","Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.",0
8,Zanzibar,"Promote energy efficiency (e.g., efficient cookstoves) and renewable energy (solar, wind) to diversify the energy mix.",Objective 9 (Mitigation),Zanzibar Climate Change Strategy (2012-2030),CCS,Climate,http://www.omkr.go.tz,"Promote energy efficiency (e.g., efficient cookstoves) and renewable energy (solar, wind) to diversify the energy mix.",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.","Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.",0
9,Zanzibar,Develop climate-resilient and low carbon tourism by adopting efficiency measures and enforcing coastal building codes.,Objective 10 (Adaptation),Zanzibar Climate Change Strategy (2012-2030),CCS,Climate,http://www.omkr.go.tz,Develop climate-resilient and low carbon tourism by adopting efficiency measures and enforcing coastal building codes.,0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.","Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.",0
